role_id,permission_id
ZPP_PLANNER,CO01
ZPP_PLANNER,CO02
ZPP_PLANNER,CO03
ZPP_PLANNER,MD01
ZPP_PLANNER,MD02
ZPP_PLANNER,MD04
ZPP_PLANNER,MD05
ZPP_PLANNER,COHV
ZPP_PLANNER,CS01
ZPP_PLANNER,CS02
ZPP_PLANNER,CA01
ZPP_PLANNER,CA02
ZPP_PLANNER,CR01
ZPP_PLANNER,CR02
ZPP_PLANNER,MMBE
ZPP_SUPERVISOR,CO01
ZPP_SUPERVISOR,CO02
ZPP_SUPERVISOR,CO03
ZPP_SUPERVISOR,CO11N
ZPP_SUPERVISOR,CO15
ZPP_SUPERVISOR,CO13
ZPP_SUPERVISOR,COGI
ZPP_SUPERVISOR,MD04
ZPP_SUPERVISOR,MIGO_GI
ZPP_SUPERVISOR,MMBE
ZPP_SUPERVISOR,MB52
ZPP_SUPERVISOR,CRHD
ZPP_OPERATOR,CO03
ZPP_OPERATOR,CO11N
ZPP_OPERATOR,CO15
ZPP_OPERATOR,MIGO_GI
ZPP_OPERATOR,MIGO_GR
ZPP_OPERATOR,MB52
ZPP_OPERATOR,MMBE
ZQM_INSPECTOR,QA01
ZQM_INSPECTOR,QA02
ZQM_INSPECTOR,QA03
ZQM_INSPECTOR,QE01
ZQM_INSPECTOR,QE02
ZQM_INSPECTOR,QM01
ZQM_INSPECTOR,QM02
ZQM_INSPECTOR,QM03
ZQM_INSPECTOR,QA07
ZQM_INSPECTOR,QA08
ZQM_MANAGER,QA01
ZQM_MANAGER,QA02
ZQM_MANAGER,QA03
ZQM_MANAGER,QA11
ZQM_MANAGER,QA12
ZQM_MANAGER,QA32
ZQM_MANAGER,QM01
ZQM_MANAGER,QM02
ZQM_MANAGER,QM03
ZQM_MANAGER,QP01
ZQM_MANAGER,QP02
ZQM_MANAGER,QS21
ZQM_AUDITOR,QA03
ZQM_AUDITOR,QA07
ZQM_AUDITOR,QA08
ZQM_AUDITOR,QM03
ZQM_AUDITOR,QP01
ZQM_AUDITOR,QP02
ZQM_AUDITOR,QS21
ZQM_AUDITOR,QE01
ZPM_PLANNER,IW31
ZPM_PLANNER,IW32
ZPM_PLANNER,IW33
ZPM_PLANNER,IW21
ZPM_PLANNER,IW22
ZPM_PLANNER,IW38
ZPM_PLANNER,IP10
ZPM_PLANNER,IP02
ZPM_PLANNER,IE01
ZPM_PLANNER,IE02
ZPM_PLANNER,IL01
ZPM_PLANNER,IL02
ZPM_TECHNICIAN,IW33
ZPM_TECHNICIAN,IW41
ZPM_TECHNICIAN,IW45
ZPM_TECHNICIAN,IW21
ZPM_TECHNICIAN,IW22
ZPM_TECHNICIAN,IH06
ZPM_TECHNICIAN,IH08
ZPM_TECHNICIAN,MIGO_GI
ZPM_TECHNICIAN,MIGO_GR
ZPM_ENGINEER,IW33
ZPM_ENGINEER,IH06
ZPM_ENGINEER,IH08
ZPM_ENGINEER,IE01
ZPM_ENGINEER,IE02
ZPM_ENGINEER,IL01
ZPM_ENGINEER,IL02
ZPM_ENGINEER,IP02
ZPM_ENGINEER,QA03
ZMM_HANDLER,MIGO
ZMM_HANDLER,MIGO_GR
ZMM_HANDLER,MIGO_GI
ZMM_HANDLER,MIGO_TR
ZMM_HANDLER,MB51
ZMM_HANDLER,MB52
ZMM_HANDLER,MMBE
ZMM_HANDLER,LT01
ZMM_HANDLER,LT10
ZMM_HANDLER,LS24
ZMM_BUYER,ME21N
ZMM_BUYER,ME22N
ZMM_BUYER,ME23N
ZMM_BUYER,ME51N
ZMM_BUYER,ME52N
ZMM_BUYER,ME57
ZMM_BUYER,ME59N
ZMM_BUYER,ME2M
ZMM_BUYER,MM01
ZMM_BUYER,MM02
ZMM_BUYER,XK01
ZMM_BUYER,XK02
ZMM_WAREHOUSE,MIGO
ZMM_WAREHOUSE,MIGO_GR
ZMM_WAREHOUSE,MIGO_GI
ZMM_WAREHOUSE,MIGO_TR
ZMM_WAREHOUSE,LT01
ZMM_WAREHOUSE,LT10
ZMM_WAREHOUSE,LS24
ZMM_WAREHOUSE,MB52
ZMM_WAREHOUSE,MMBE
ZMM_WAREHOUSE,MI01
ZMM_WAREHOUSE,MI04
ZMM_WAREHOUSE,MI07
ZMM_WAREHOUSE,MI20
ZMM_INVENTORY,MI01
ZMM_INVENTORY,MI04
ZMM_INVENTORY,MI07
ZMM_INVENTORY,MI20
ZMM_INVENTORY,MI31
ZMM_INVENTORY,MB52
ZMM_INVENTORY,MMBE
ZMM_INVENTORY,MB51
ZSD_SHIPPING,VL01N
ZSD_SHIPPING,VL02N
ZSD_SHIPPING,VT01N
ZSD_SHIPPING,VT02N
ZSD_SHIPPING,MIGO_GI
ZSD_SHIPPING,MB52
ZFI_COST,KS01
ZFI_COST,KS02
ZFI_COST,KP06
ZFI_COST,CK11N
ZFI_COST,CK40N
ZFI_COST,CK24
ZFI_COST,FS10N
ZFI_AP,FB60
ZFI_AP,FB65
ZFI_AP,FBL1N
ZFI_AP,F110
ZFI_AP,XK01
ZFI_AP,XK02
ZFI_GL,FB50
ZFI_GL,FB01
ZFI_GL,FS10N
ZFI_GL,F.80
ZFI_GL,FBL1N
ZHR_ADMIN,PA20
ZHR_ADMIN,PA30
ZHR_ADMIN,PT01
ZHR_ADMIN,PT02
ZEHS_COORD,EHS01
ZEHS_COORD,EHS02
ZEHS_COORD,EHS_INC
ZEHS_COORD,EHS_RPT
ZEHS_COORD,QM01
ZEHS_COORD,QM02
ZIT_BASIS,SU01
ZIT_BASIS,STMS
ZIT_BASIS,SE38
ZIT_BASIS,SM37
ZIT_BASIS,CATT
