user_id,role_id
MF001,ZPP_SUPERVISOR
MF001,ZQM_INSPECTOR
MF002,ZPP_PLANNER
MF003,ZPP_SUPERVISOR
MF003,ZPP_PLANNER
MF004,ZPP_OPERATOR
MF005,ZPP_PLANNER
MF006,ZPP_PLANNER
MF006,ZQM_MANAGER
MF007,ZPP_SUPERVISOR
MF008,ZPP_SUPERVISOR
MF009,ZPP_OPERATOR
MF010,ZPP_SUPERVISOR
MF010,ZPP_OPERATOR
MF011,ZQM_MANAGER
MF011,ZQM_AUDITOR
MF012,ZQM_INSPECTOR
MF013,ZQM_INSPECTOR
MF013,ZQM_MANAGER
MF014,ZQM_INSPECTOR
MF015,ZQM_INSPECTOR
MF015,ZMM_HANDLER
MF016,ZQM_INSPECTOR
MF017,ZQM_AUDITOR
MF018,ZQM_INSPECTOR
MF019,ZQM_INSPECTOR
MF020,ZQM_INSPECTOR
MF021,ZPM_PLANNER
MF021,ZPM_ENGINEER
MF022,ZPM_PLANNER
MF023,ZPM_TECHNICIAN
MF024,ZPM_ENGINEER
MF025,ZPM_TECHNICIAN
MF026,ZPM_PLANNER
MF026,ZPM_TECHNICIAN
MF027,ZPM_TECHNICIAN
MF028,ZPM_PLANNER
MF028,ZIT_BASIS
MF029,ZPM_TECHNICIAN
MF029,ZQM_INSPECTOR
MF030,ZPM_PLANNER
MF030,ZPM_TECHNICIAN
MF031,ZMM_BUYER
MF031,ZPP_PLANNER
MF032,ZMM_BUYER
MF032,ZPP_PLANNER
MF033,ZPP_PLANNER
MF034,ZPP_PLANNER
MF034,ZMM_BUYER
MF035,ZMM_BUYER
MF036,ZMM_BUYER
MF037,ZSD_SHIPPING
MF037,ZMM_HANDLER
MF038,ZMM_BUYER
MF039,ZMM_BUYER
MF039,ZFI_AP
MF040,ZMM_BUYER
MF040,ZPP_PLANNER
MF041,ZMM_WAREHOUSE
MF041,ZMM_INVENTORY
MF042,ZMM_WAREHOUSE
MF043,ZMM_HANDLER
MF044,ZMM_INVENTORY
MF044,ZMM_HANDLER
MF045,ZMM_HANDLER
MF045,ZMM_WAREHOUSE
MF046,ZSD_SHIPPING
MF046,ZMM_HANDLER
MF047,ZMM_HANDLER
MF048,ZMM_INVENTORY
MF049,ZMM_HANDLER
MF050,ZMM_HANDLER
MF051,ZPP_PLANNER
MF051,ZQM_MANAGER
MF052,ZPP_PLANNER
MF053,ZPP_PLANNER
MF054,ZPP_PLANNER
MF055,ZPP_PLANNER
MF056,ZPP_PLANNER
MF057,ZPP_PLANNER
MF057,ZIT_BASIS
MF058,ZPP_PLANNER
MF059,ZPP_PLANNER
MF059,ZPP_SUPERVISOR
MF060,ZPP_PLANNER
MF061,ZEHS_COORD
MF061,ZQM_MANAGER
MF062,ZEHS_COORD
MF063,ZEHS_COORD
MF064,ZEHS_COORD
MF065,ZEHS_COORD
MF066,ZEHS_COORD
MF067,ZEHS_COORD
MF068,ZEHS_COORD
MF068,ZQM_AUDITOR
MF069,ZEHS_COORD
MF070,ZEHS_COORD
MF070,ZHR_ADMIN
MF071,ZHR_ADMIN
MF072,ZHR_ADMIN
MF073,ZHR_ADMIN
MF073,ZFI_AP
MF074,ZHR_ADMIN
MF075,ZHR_ADMIN
MF076,ZHR_ADMIN
MF077,ZHR_ADMIN
MF078,ZHR_ADMIN
MF079,ZHR_ADMIN
MF080,ZHR_ADMIN
MF081,ZFI_GL
MF081,ZFI_COST
MF082,ZFI_COST
MF083,ZFI_AP
MF084,ZFI_GL
MF085,ZFI_GL
MF085,ZFI_COST
MF086,ZFI_GL
MF087,ZFI_COST
MF087,ZFI_GL
MF088,ZFI_COST
MF089,ZFI_GL
MF090,ZFI_AP
MF091,ZIT_BASIS
MF092,ZIT_BASIS
MF093,ZIT_BASIS
MF094,ZIT_BASIS
MF095,ZIT_BASIS
MF096,ZIT_BASIS
MF097,ZIT_BASIS
MF098,ZIT_BASIS
MF099,ZFI_COST
MF099,ZPP_SUPERVISOR
MF100,ZPP_SUPERVISOR
MF100,ZFI_COST
