rule_id,rule_name,permission_a,permission_b,severity,risk_description,,
SOD-AP-001,Vendor Create vs Automatic Payment Execution,XK01,F110,Critical,A user who can create vendor master records and execute the automatic payment run can create fictitious vendors and immediately generate fraudulent payments. This is among the highest-risk SOD conflicts in SAP.,,
SOD-AP-002,Vendor Modify vs Automatic Payment Execution,XK02,F110,Critical,A user who can modify vendor bank account details and execute payment runs can redirect legitimate payments to unauthorized accounts. Represents a direct fraud vector.,,
SOD-AP-003,Vendor Create vs Vendor Invoice Entry,XK01,FB60,High,A user who can create vendors and post invoices against them can introduce fictitious vendors and record fraudulent invoices without a purchase order control point.,,
SOD-AP-004,Vendor Modify vs Vendor Invoice Entry,XK02,FB60,High,Modification of vendor master data combined with invoice posting allows a user to alter payment terms or bank details and then post invoices that will route payments incorrectly.,,
SOD-AP-005,Vendor Create vs Logistics Invoice Verification,XK01,MIRO,High,Creating vendor masters and verifying 3-way match invoices in the same hand eliminates the independence required to detect vendor fraud in the procurement cycle.,,
SOD-AP-006,Vendor Modify vs Logistics Invoice Verification,XK02,MIRO,High,Changing vendor data (e.g., bank account) and then verifying invoices for that vendor creates a direct path for payment fraud without detection.,
SOD-AP-007,Invoice Entry vs Automatic Payment Execution,FB60,F110,Critical,Posting vendor invoices and executing the payment run in the same user account removes the key control separating invoice approval from cash disbursement.,,
SOD-AP-008,Logistics Invoice Verification vs Payment Execution,MIRO,F110,Critical,Verifying PO-based invoices and running the payment program gives a single user end-to-end control over the procure-to-pay cycle, enabling payment fraud.,
SOD-AP-009,Release Blocked Invoices vs Automatic Payment Execution,MRBR,F110,High,Releasing invoices from payment block and then running the payment program eliminates the dual-control requirement over blocked invoice resolution.,,
SOD-AP-010,Invoice Entry vs Release Blocked Invoices,FB60,MRBR,High,A user who posts invoices and can also release them from blocking has full control to push through invoices that were intentionally held for review.,,
SOD-AP-011,Create Purchase Order vs Logistics Invoice Verification,ME21N,MIRO,High,Creating purchase orders and verifying the resulting invoices in the same hand removes independence in the 3-way match process (PO, GR, Invoice).
SOD-AP-012,Create Purchase Order vs Automatic Payment Execution,ME21N,F110,High,Initiating procurement commitments and executing vendor payments gives a single user control over an entire transaction cycle from requisition to cash outflow.,,
SOD-AP-013,Release Purchase Order vs Create Purchase Order,ME21N,ME29N,High,Creating and approving your own purchase orders circumvents the purchasing authorization control. This is a foundational procurement SOD conflict.,,
SOD-AP-014,Goods Receipt Posting vs Logistics Invoice Verification,MIGO,MIRO,Medium,Confirming goods receipt and verifying the vendor invoice for the same PO in the same hand weakens 3-way match integrity and may allow inflated or fictitious invoices.,,
SOD-AP-015,Cancel Invoice Document vs Logistics Invoice Verification,MR8M,MIRO,High,Posting and canceling invoices within the same user profile allows a user to manipulate invoice records without leaving a clear audit trail.,,
SOD-AP-016,Vendor Create vs Goods Receipt Posting,XK01,MIGO,Medium,Creating vendor records and posting goods receipts allows a user to fabricate both a vendor and the evidence of delivery, facilitating fictitious purchasing schemes.,
SOD-AR-001,Customer Create vs Customer Payment Clearing,XD01,F-28,High,Creating customer master records and applying incoming payments against those customers allows a user to create fictitious customers and misapply cash receipts.,,
SOD-AR-002,Customer Modify vs Customer Payment Clearing,XD02,F-28,High,Modifying customer data (e.g., bank details, payment terms) and clearing open items enables manipulation of cash application and potential misappropriation.
SOD-AR-003,Customer Create vs Sales Order Processing,XD01,VA01,Medium,Creating customers and generating sales orders for them bypasses independent credit and customer onboarding review, enabling revenue recognition manipulation.,
SOD-AR-004,Credit Limit Maintenance vs Sales Order Processing,FD32,VA01,High,Changing customer credit limits and creating sales orders for those customers gives a single user control over credit risk decisions and order acceptance.,,
SOD-AR-005,Billing Document Create vs Cash Application,VF01,F-28,Medium,Creating billing documents and clearing the resulting receivables gives one person control over the full order-to-cash cycle without independent reconciliation.,,
SOD-AR-006,Customer Modify vs Billing Document Create,XD02,VF01,Medium,Changing customer pricing or payment terms and then creating billing documents for that customer allows manipulation of revenue amounts without independent review.,,
SOD-GL-001,Journal Entry Posting vs Document Reversal,FB50,FB08,High,Posting journal entries and reversing them provides the ability to manipulate the general ledger in a way that may not be visible in period-end balances, complicating audit detection.,
SOD-GL-002,Posting Period Open/Close vs Journal Entry Posting,OB52,FB50,High,Controlling when accounting periods are open and posting entries within them gives one user the ability to post transactions in closed or restricted periods without oversight.,,
