user_id,role_id
FS001,ZTR_TRADER
FS002,ZTR_TRADER
FS002,ZRM_ANALYST
FS003,ZRM_ANALYST
FS003,ZRM_CREDIT
FS004,ZRM_ANALYST
FS005,ZCO_OFFICER
FS006,ZCO_AML
FS007,ZTR_BACK_OFFICE
FS008,ZFI_FUND_ACCT
FS008,ZFI_GL_ACCT
FS009,ZTR_CASH_MGR
FS009,ZTR_DEALER
FS010,ZAU_AUDITOR
FS011,ZTR_TRADER
FS011,ZTR_DEALER
FS012,ZRM_CREDIT
FS013,ZCO_OFFICER
FS014,ZTR_BACK_OFFICE
FS015,ZFI_CONTROLLER
FS015,ZFI_GL_ACCT
FS016,ZCS_MANAGER
FS017,ZTR_TRADER
FS017,ZTR_DEALER
FS018,ZRM_ANALYST
FS019,ZTR_CASH_MGR
FS020,ZLG_COUNSEL
FS021,ZTR_TRADER
FS022,ZRM_ANALYST
FS023,ZCS_ONBOARDING
FS023,ZCO_AML
FS024,ZTR_BACK_OFFICE
FS025,ZFI_AP_CLERK
FS025,ZFI_GL_ACCT
FS026,ZIT_ADMIN
FS027,ZTR_TRADER
FS027,ZTR_DEALER
FS028,ZRM_CREDIT
FS029,ZCO_AML
FS030,ZTR_BACK_OFFICE
FS031,ZFI_TAX
FS031,ZFI_GL_ACCT
FS032,ZTR_TRADER
FS033,ZRM_ANALYST
FS033,ZRM_CREDIT
FS034,ZCO_OFFICER
FS035,ZTR_BACK_OFFICE
FS035,ZTR_DEALER
FS036,ZTR_CASH_MGR
FS037,ZIT_ADMIN
FS037,ZIT_SECURITY
FS038,ZCS_ONBOARDING
FS039,ZTR_TRADER
FS039,ZTR_DEALER
FS040,ZRM_ANALYST
FS041,ZCO_OFFICER
FS042,ZTR_BACK_OFFICE
FS043,ZFI_GL_ACCT
FS043,ZFI_AR_CLERK
FS044,ZTR_TRADER
FS045,ZCO_AML
FS045,ZCO_OFFICER
FS046,ZTR_BACK_OFFICE
FS047,ZFI_FUND_ACCT
FS047,ZFI_GL_ACCT
FS048,ZCS_MANAGER
FS049,ZIT_SECURITY
FS049,ZIT_ADMIN
FS050,ZLG_COUNSEL
FS051,ZTR_TRADER
FS052,ZRM_ANALYST
FS053,ZCO_AML
FS054,ZTR_BACK_OFFICE
FS055,ZFI_GL_ACCT
FS056,ZTR_CASH_MGR
FS056,ZTR_BACK_OFFICE
FS057,ZLG_COUNSEL
FS058,ZIT_ADMIN
FS059,ZTR_BACK_OFFICE
FS060,ZAU_AUDITOR
FS061,ZFI_GL_ACCT
FS062,ZIT_SECURITY
FS063,ZRM_ANALYST
FS064,ZTR_BACK_OFFICE
FS065,ZFI_AP_CLERK
FS066,ZIT_ADMIN
FS067,ZCS_MANAGER
FS068,ZTR_TRADER
FS068,ZTR_DEALER
FS069,ZRM_CREDIT
FS070,ZCO_AML
FS070,ZCO_OFFICER
FS071,ZTR_BACK_OFFICE
FS072,ZFI_CONTROLLER
FS073,ZTR_CASH_MGR
FS074,ZCO_OFFICER
FS075,ZTR_TRADER
FS076,ZRM_ANALYST
FS077,ZTR_BACK_OFFICE
FS078,ZFI_GL_ACCT
FS078,ZFI_CONTROLLER
FS079,ZIT_ADMIN
FS080,ZLG_COUNSEL
FS081,ZTR_CASH_MGR
FS081,ZTR_BACK_OFFICE
FS082,ZCO_OFFICER
FS083,ZFI_FUND_ACCT
FS084,ZTR_TRADER
FS085,ZAU_AUDITOR
FS086,ZTR_DEALER
FS087,ZCO_OFFICER
FS088,ZTR_BACK_OFFICE
FS089,ZFI_GL_ACCT
FS090,ZRM_CREDIT
FS090,ZRM_ANALYST
FS091,ZTR_CASH_MGR
FS092,ZCO_OFFICER
FS093,ZAU_AUDITOR
FS093,ZIT_SECURITY
FS094,ZCS_MANAGER
FS095,ZFI_GL_ACCT
FS095,ZFI_CONTROLLER
FS096,ZTR_CASH_MGR
FS096,ZTR_BACK_OFFICE
FS097,ZIT_ADMIN
FS098,ZLG_COUNSEL
FS099,ZAU_AUDITOR
FS100,ZCS_MANAGER
