role_id,role_name,description,system,domain
S4_AP_INV_PROC,AP Invoice Processor,Process and post vendor invoices in Fiori,S/4HANA,Finance
S4_AP_PAY_SPEC,AP Payment Specialist,Execute payment runs and manage payment methods,S/4HANA,Finance
S4_AR_BILLING,AR Billing Specialist,Customer invoicing and payment processing,S/4HANA,Finance
S4_AR_CREDIT,AR Credit Manager,Credit management and collection strategies,S/4HANA,Finance
S4_GL_ACCOUNTANT,GL Accountant,Journal entries and period-end closing in Fiori,S/4HANA,Finance
S4_GL_CONTROLLER,Financial Controller,Financial statements and management reporting,S/4HANA,Finance
S4_COST_ANALYST,Cost Analyst,Cost center analysis and profitability reporting,S/4HANA,Finance
S4_TREASURY_MGR,Treasury Manager,Cash management and bank relationship management,S/4HANA,Finance
S4_PROC_BUYER,Procurement Buyer,Source-to-pay processing in Fiori,S/4HANA,Procurement
S4_PROC_MANAGER,Procurement Manager,Strategic sourcing and contract lifecycle,S/4HANA,Procurement
S4_INV_SPECIALIST,Inventory Specialist,Inventory management and physical inventory,S/4HANA,Warehouse
S4_WH_MANAGER,Warehouse Manager,Extended warehouse management operations,S/4HANA,Warehouse
S4_MAINT_PLANNER,Maintenance Planner,Predictive maintenance planning in Fiori,S/4HANA,Maintenance
S4_MAINT_TECH,Maintenance Technician,Mobile work order execution,S/4HANA,Maintenance
S4_QM_SPECIALIST,Quality Specialist,Quality management and inspection processing,S/4HANA,Quality
S4_HR_SPECIALIST,HR Specialist,Core HR and employee lifecycle management,S/4HANA,HR
S4_SALES_REP,Sales Representative,Sales order management and customer service,S/4HANA,Supply Chain
S4_IT_ADMIN,IT Administrator,Fiori administration and authorization management,S/4HANA,IT
