persona_name,consolidated_group_name
Accounts Receivable Processor,Financial Processing Staff
Procurement Manager,Procurement & Supplier Management
Maintenance Planner,Plant Maintenance Planning & Coordination
Logistics Coordinator,Supply Chain Operations
Product Analyst,Product Management & Analysis
Product Manager,Product Management & Analysis
Finance Processor,Financial Processing Staff
Market Research Analyst,Market Research & Analysis
Maintenance System Administrator,Equipment Maintenance & Systems Administration
Operations Planner,Supply Chain Planning & Operations Management
Product Engineer,Product Development & Design
Maintenance Coordinator,Plant Maintenance Planning & Coordination
Warehouse Operations Personnel,Warehouse Operations
Tax Processor,Financial Processing Staff
Field Maintenance Technician,Plant Maintenance Technical Staff
Maintenance Technician,Plant Maintenance Technical Staff
Supply Chain Coordinator,Supply Chain Operations
Finance Analyst,Financial Analysis & Treasury
Maintenance Specialist,Plant Maintenance Technical Staff
Facilities Manager,Facilities Management & Operations
Facilities Operations Specialist,Facilities Management & Operations
Operations Supervisor,Supply Chain Planning & Operations Management
Product Developer,Product Development & Design
Payroll Processor,Financial Processing Staff
Product Researcher,Product Development & Design
Equipment Maintenance Worker,Plant Maintenance Technical Staff
Procurement Analyst,Procurement Operations
Procurement Specialist,Procurement Operations
Equipment Maintenance Analyst,Equipment Maintenance & Systems Administration
Warehouse Worker,Warehouse Operations
Supply Chain Manager,Supply Chain Planning & Operations Management
Supply Chain Operator,Supply Chain Operations
Equipment Maintenance Technician,Equipment Maintenance & Systems Administration
Quality Assurance Analyst,Quality Assurance
Treasury Specialist,Financial Analysis & Treasury
Product Designer,Product Development & Design
Maintenance Analyst,Plant Maintenance Planning & Coordination
Supplier Relations Manager,Procurement & Supplier Management
Quality Assurance Tester,Quality Assurance
Vendor Management Specialist,Procurement & Supplier Management
Research Professional,Research & Development
Finance Accounting Processor,Financial Processing Staff
Supply Chain Planner,Supply Chain Planning & Operations Management
Facilities Maintenance Worker,Facilities Management & Operations
Research & Development Engineer,Research & Development
Accounts Payable Processor,Financial Processing Staff
Facilities Maintenance Specialist,Facilities Management & Operations
Market Researcher,Market Research & Analysis
Warehouse Operations Worker,Warehouse Operations
Accounting Processor,Financial Processing Staff
