target_role_id,permission_id
S4_AP_INV_PROC,F0717
S4_AP_INV_PROC,F0718
S4_AP_PAY_SPEC,F0717
S4_AP_PAY_SPEC,F2424
S4_AP_PAY_SPEC,F0743
S4_AR_BILLING,F1603
S4_AR_BILLING,F2625
S4_AR_BILLING,F0720
S4_AR_CREDIT,F1603
S4_AR_CREDIT,F2170
S4_AR_CREDIT,F2625
S4_AR_CREDIT,F2626
S4_AR_CREDIT,F0720
S4_GL_ACCOUNTANT,F0716
S4_GL_ACCOUNTANT,F2312
S4_GL_ACCOUNTANT,F0719
S4_GL_ACCOUNTANT,F0720
S4_GL_CONTROLLER,F0716
S4_GL_CONTROLLER,F0814
S4_GL_CONTROLLER,F2312
S4_GL_CONTROLLER,F2313
S4_GL_CONTROLLER,F0719
S4_GL_CONTROLLER,F0720
S4_COST_ANALYST,F2872
S4_COST_ANALYST,F2312
S4_TREASURY_MGR,F3382
S4_TREASURY_MGR,F2312
S4_PROC_BUYER,F1074
S4_PROC_BUYER,F1489
S4_PROC_MANAGER,F1074
S4_PROC_MANAGER,F1076
S4_PROC_MANAGER,F1489
S4_PROC_MANAGER,F0743
S4_INV_SPECIALIST,F2093
S4_INV_SPECIALIST,F2094
S4_INV_SPECIALIST,F3721
S4_WH_MANAGER,F2093
S4_WH_MANAGER,F2094
S4_WH_MANAGER,F3721
S4_MAINT_PLANNER,F0893
S4_MAINT_PLANNER,F0895
S4_MAINT_TECH,F0894
S4_QM_SPECIALIST,F5782
S4_QM_SPECIALIST,F5783
S4_HR_SPECIALIST,F2721
S4_HR_SPECIALIST,F2722
S4_SALES_REP,F3891
S4_SALES_REP,F3892
S4_IT_ADMIN,F7721
S4_IT_ADMIN,F7722
