user_id,role_id
CP005,S4_SD_BILLING
CP005,S4_SD_ORDER
CP006,S4_QM_SPECIALIST
CP007,S4_MKT_ANALYST
CP009,S4_TPM_MANAGER
CP011,S4_AP_SPECIALIST
CP011,S4_AR_SPECIALIST
CP015,S4_DEMAND_PLANNER
CP016,S4_SD_ORDER
CP017,S4_MKT_ANALYST
CP018,S4_INV_SPECIALIST
CP021,S4_INV_SPECIALIST
CP022,S4_INV_SPECIALIST
CP023,S4_MKT_ANALYST
CP026,S4_MKT_ANALYST
CP028,S4_DIST_COORD
CP029,S4_QM_SPECIALIST
CP031,S4_MKT_ANALYST
CP032,S4_INV_SPECIALIST
CP035,S4_SD_BILLING
CP036,S4_MKT_ANALYST
CP038,S4_SD_BILLING
CP038,S4_SD_ORDER
CP039,S4_MKT_ANALYST
CP041,S4_SD_BILLING
CP041,S4_SD_PRICING
CP042,S4_SD_ORDER
CP043,S4_IT_ADMIN
CP045,S4_MKT_ANALYST
CP046,S4_TPM_MANAGER
CP052,S4_MKT_ANALYST
CP053,S4_AP_SPECIALIST
CP053,S4_GL_ACCOUNTANT
CP055,S4_DEMAND_PLANNER
CP055,S4_PROD_PLANNER
CP056,S4_AP_SPECIALIST
CP057,S4_AP_SPECIALIST
CP058,S4_SD_BILLING
CP058,S4_SD_PRICING
CP059,S4_MKT_ANALYST
CP060,S4_DIST_COORD
CP062,S4_PROD_PLANNER
CP064,S4_GL_ACCOUNTANT
CP064,S4_AP_SPECIALIST
CP065,S4_DEMAND_PLANNER
CP066,S4_PROD_PLANNER
CP066,S4_DEMAND_PLANNER
CP067,S4_MKT_ANALYST
CP068,S4_MKT_ANALYST
CP069,S4_MKT_ANALYST
CP072,S4_PAYROLL_SPEC
CP074,S4_IT_ADMIN
CP076,S4_SD_BILLING
CP077,S4_TPM_MANAGER
CP078,S4_MKT_ANALYST
CP080,S4_DEMAND_PLANNER
CP081,S4_IT_ADMIN
CP082,S4_MKT_ANALYST
CP084,S4_GL_ACCOUNTANT
CP084,S4_AP_SPECIALIST
CP085,S4_MKT_ANALYST
CP086,S4_AR_SPECIALIST
CP086,S4_GL_ACCOUNTANT
CP087,S4_MKT_ANALYST
CP088,S4_MKT_ANALYST
CP090,S4_SD_ORDER
CP091,S4_AP_SPECIALIST
CP092,S4_MKT_ANALYST
CP093,S4_SD_ORDER
CP093,S4_SD_BILLING
CP094,S4_PROD_PLANNER
CP095,S4_SD_PRICING
CP096,S4_PAYROLL_SPEC
CP097,S4_TPM_MANAGER
CP097,S4_TRADE_ANALYST
