target_role_id,permission_id
S4_SD_ORDER,F3891
S4_SD_ORDER,F3892
S4_SD_BILLING,F3893
S4_SD_BILLING,F1603
S4_SD_PRICING,F3894
S4_SD_PRICING,F3895
S4_SD_PRICING,F4802
S4_PROC_BUYER,F1074
S4_DEMAND_PLANNER,F6201
S4_DEMAND_PLANNER,F6202
S4_INV_SPECIALIST,F2093
S4_INV_SPECIALIST,F2094
S4_INV_SPECIALIST,F3721
S4_DIST_COORD,F3892
S4_DIST_COORD,F3896
S4_DIST_COORD,F2094
S4_AP_SPECIALIST,F0717
S4_AP_SPECIALIST,F2424
S4_AP_SPECIALIST,F0743
S4_AR_SPECIALIST,F1603
S4_AR_SPECIALIST,F2170
S4_AR_SPECIALIST,F2625
S4_GL_ACCOUNTANT,F0716
S4_GL_ACCOUNTANT,F0814
S4_GL_ACCOUNTANT,F0719
S4_TRADE_ANALYST,F4801
S4_TPM_MANAGER,F4801
S4_TPM_MANAGER,F4802
S4_TPM_MANAGER,F3895
S4_PROD_PLANNER,F6101
S4_PROD_PLANNER,F6102
S4_QM_SPECIALIST,F5782
S4_QM_SPECIALIST,F5783
S4_QM_SPECIALIST,F5785
S4_HR_SPECIALIST,F2721
S4_PAYROLL_SPEC,F2722
S4_MKT_ANALYST,F4801
S4_IT_ADMIN,F7721
S4_IT_ADMIN,F7722
