target_role_id,permission_id
S4_TR_DEALER,FT100
S4_TR_DEALER,FT101
S4_TR_DEALER,FT102
S4_TR_DEALER,FT110
S4_TR_DEALER,FT111
S4_TR_DEALER,FT112
S4_TR_DEALER,FT140
S4_TR_PORTFOLIO,FT100
S4_TR_PORTFOLIO,FT101
S4_TR_PORTFOLIO,FT102
S4_TR_PORTFOLIO,FT111
S4_TR_PORTFOLIO,FT140
S4_TR_PORTFOLIO,FT152
S4_TR_CASH_MGR,FT130
S4_TR_CASH_MGR,FT131
S4_TR_CASH_MGR,FT132
S4_TR_CASH_MGR,FT133
S4_TR_CASH_MGR,FT134
S4_TR_CASH_MGR,FT135
S4_TR_BACK_OFFICE,FT120
S4_TR_BACK_OFFICE,FT121
S4_TR_BACK_OFFICE,FT122
S4_TR_BACK_OFFICE,FT102
S4_TR_BACK_OFFICE,FT161
S4_RM_MARKET,FT150
S4_RM_MARKET,FT151
S4_RM_MARKET,FT152
S4_RM_MARKET,FT140
S4_RM_MARKET,FT161
S4_RM_CREDIT,FT141
S4_RM_CREDIT,FT160
S4_RM_CREDIT,FT161
S4_RM_CREDIT,FT151
S4_RM_OPERATIONAL,FT151
S4_RM_OPERATIONAL,FA200
S4_RM_OPERATIONAL,FA210
S4_CO_OFFICER,FA200
S4_CO_OFFICER,FA201
S4_CO_OFFICER,FA203
S4_CO_OFFICER,FB110
S4_CO_OFFICER,F0710
S4_CO_AML,FA202
S4_CO_AML,FA200
S4_CO_AML,FC104
S4_CO_AML,F0718
S4_CO_REPORTING,FA201
S4_CO_REPORTING,FA203
S4_CO_REPORTING,FA200
S4_CO_REPORTING,FA211
S4_FI_GL_ACCT,F0400
S4_FI_GL_ACCT,F0710
S4_FI_GL_ACCT,F0401
S4_FI_GL_ACCT,F0407
S4_FI_AP_PROC,F0717
S4_FI_AP_PROC,F0718
S4_FI_AP_PROC,F0859
S4_FI_AP_PROC,F0790
S4_FI_AR_PROC,FC100
S4_FI_AR_PROC,FC101
S4_FI_AR_PROC,FC102
S4_FI_AR_PROC,FC104
S4_FI_FUND_ACCT,F0400
S4_FI_FUND_ACCT,F0710
S4_FI_FUND_ACCT,FF100
S4_FI_FUND_ACCT,FF101
S4_FI_FUND_ACCT,FF102
S4_FI_CONTROLLER,F0400
S4_FI_CONTROLLER,F0710
S4_FI_CONTROLLER,F0401
S4_FI_CONTROLLER,F0402
S4_FI_CONTROLLER,F0403
S4_FI_CONTROLLER,F0405
S4_FI_CONTROLLER,F0406
S4_FI_CONTROLLER,F0410
S4_FI_CONTROLLER,FA211
S4_CS_MANAGER,FC103
S4_CS_MANAGER,FC104
S4_CS_MANAGER,F0718
S4_CS_ONBOARDING,FC103
S4_CS_ONBOARDING,FC104
S4_CS_ONBOARDING,F0790
S4_AU_AUDITOR,F0710
S4_AU_AUDITOR,F0718
S4_AU_AUDITOR,FC104
S4_AU_AUDITOR,FA210
S4_AU_AUDITOR,FA211
S4_AU_AUDITOR,FB110
