target_role_id,permission_id
SF_SALES_REP,SF_ACCT_VIEW
SF_SALES_REP,SF_ACCT_MANAGE
SF_SALES_REP,SF_OPP_VIEW
SF_SALES_REP,SF_OPP_MANAGE
SF_SALES_REP,SF_LEAD_VIEW
SF_SALES_REP,SF_LEAD_MANAGE
SF_SALES_REP,SF_QUOTE_CREATE
SF_SALES_REP,SF_FORECAST_VIEW
SF_SALES_MGR,SF_ACCT_VIEW
SF_SALES_MGR,SF_ACCT_MANAGE
SF_SALES_MGR,SF_OPP_VIEW
SF_SALES_MGR,SF_OPP_MANAGE
SF_SALES_MGR,SF_OPP_CLOSE
SF_SALES_MGR,SF_LEAD_VIEW
SF_SALES_MGR,SF_FORECAST_VIEW
SF_SALES_MGR,SF_FORECAST_MANAGE
SF_SALES_MGR,SF_QUOTE_CREATE
SF_SALES_MGR,SF_QUOTE_APPROVE
SF_SALES_DIR,SF_ACCT_VIEW
SF_SALES_DIR,SF_OPP_VIEW
SF_SALES_DIR,SF_OPP_CLOSE
SF_SALES_DIR,SF_FORECAST_VIEW
SF_SALES_DIR,SF_FORECAST_MANAGE
SF_SALES_DIR,SF_TERRITORY_MANAGE
SF_SALES_DIR,SF_REPORT_VIEW
SF_SALES_DIR,SF_REPORT_CREATE
SF_SALES_OPS,SF_ACCT_VIEW
SF_SALES_OPS,SF_ACCT_MANAGE
SF_SALES_OPS,SF_OPP_VIEW
SF_SALES_OPS,SF_OPP_MANAGE
SF_SALES_OPS,SF_REPORT_VIEW
SF_SALES_OPS,SF_REPORT_CREATE
SF_SALES_OPS,SF_REPORT_EXPORT
SF_SALES_OPS,SF_DATA_IMPORT
SF_SDR,SF_LEAD_VIEW
SF_SDR,SF_LEAD_MANAGE
SF_SDR,SF_ACCT_VIEW
SF_SVC_AGENT,SF_CASE_VIEW
SF_SVC_AGENT,SF_CASE_MANAGE
SF_SVC_AGENT,SF_ACCT_VIEW
SF_SVC_MGR,SF_CASE_VIEW
SF_SVC_MGR,SF_CASE_MANAGE
SF_SVC_MGR,SF_CASE_ESCALATE
SF_SVC_MGR,SF_CASE_ASSIGN
SF_SVC_MGR,SF_ACCT_VIEW
SF_SVC_MGR,SF_REPORT_VIEW
SF_SVC_ADMIN,SF_CASE_VIEW
SF_SVC_ADMIN,SF_CASE_ASSIGN
SF_SVC_ADMIN,SF_FLOW_MANAGE
SF_SVC_ADMIN,SF_FIELD_MANAGE
SF_MKT_SPECIALIST,SF_CAMP_MANAGE
SF_MKT_SPECIALIST,SF_LEAD_VIEW
SF_MKT_SPECIALIST,SF_LEAD_MANAGE
SF_MKT_MANAGER,SF_CAMP_MANAGE
SF_MKT_MANAGER,SF_CAMP_BUDGET
SF_MKT_MANAGER,SF_LEAD_VIEW
SF_MKT_MANAGER,SF_LEAD_MANAGE
SF_MKT_MANAGER,SF_REPORT_VIEW
SF_MKT_MANAGER,SF_REPORT_CREATE
SF_BI_ANALYST,SF_REPORT_VIEW
SF_BI_ANALYST,SF_REPORT_CREATE
SF_BI_ANALYST,SF_REPORT_EXPORT
SF_BI_MANAGER,SF_REPORT_VIEW
SF_BI_MANAGER,SF_REPORT_CREATE
SF_BI_MANAGER,SF_REPORT_EXPORT
SF_BI_MANAGER,SF_API_ACCESS
SF_ADMIN,SF_USER_MANAGE
SF_ADMIN,SF_ROLE_MANAGE
SF_ADMIN,SF_PROFILE_MANAGE
SF_ADMIN,SF_FLOW_MANAGE
SF_ADMIN,SF_FIELD_MANAGE
SF_ADMIN,SF_DATA_IMPORT
SF_ADMIN,SF_DATA_DELETE
SF_DEVELOPER,SF_FIELD_MANAGE
SF_DEVELOPER,SF_FLOW_MANAGE
SF_DEVELOPER,SF_API_ACCESS
SF_FIN_ANALYST,SF_OPP_VIEW
SF_FIN_ANALYST,SF_FORECAST_VIEW
SF_FIN_ANALYST,SF_REPORT_VIEW
SF_FIN_ANALYST,SF_REPORT_CREATE
SF_FIN_ANALYST,SF_REPORT_EXPORT
SF_FIN_MANAGER,SF_OPP_VIEW
SF_FIN_MANAGER,SF_OPP_CLOSE
SF_FIN_MANAGER,SF_FORECAST_VIEW
SF_FIN_MANAGER,SF_FORECAST_MANAGE
SF_FIN_MANAGER,SF_PRICE_MANAGE
SF_FIN_MANAGER,SF_CONTRACT_MANAGE
SF_FIN_MANAGER,SF_CONTRACT_APPROVE
SF_OPS_COORD,SF_FLOW_MANAGE
SF_OPS_COORD,SF_REPORT_VIEW
SF_OPS_COORD,SF_REPORT_CREATE
SF_IT_SUPPORT,SF_USER_MANAGE
SF_IT_SUPPORT,SF_ACCT_VIEW
SF_IT_SUPPORT,SF_CASE_VIEW
