role_id,permission_id
ZPM_PLANNER,IW31
ZPM_PLANNER,IW32
ZPM_PLANNER,IW38
ZPM_PLANNER,IW21
ZPM_PLANNER,IW28
ZPM_PLANNER,IP10
ZPM_PLANNER,IP30
ZPM_PLANNER,IP02
ZPM_TECHNICIAN,IW32
ZPM_TECHNICIAN,IW38
ZPM_TECHNICIAN,IW41
ZPM_TECHNICIAN,IW21
ZPM_TECHNICIAN,IH01
ZPM_SUPERVISOR,IW31
ZPM_SUPERVISOR,IW32
ZPM_SUPERVISOR,IW38
ZPM_SUPERVISOR,IW21
ZPM_SUPERVISOR,IW28
ZPM_SUPERVISOR,IA01
ZPM_SUPERVISOR,IA02
ZPM_SUPERVISOR,IP10
ZPM_SUPERVISOR,IW41
ZPM_SUPERVISOR,IP02
ZPS_ENGINEER,CJ20N
ZPS_ENGINEER,CJ30
ZPS_ENGINEER,CN22
ZPS_ENGINEER,CJ80
ZHSE_COORDINATOR,EHSM_INC
ZHSE_COORDINATOR,EHSM_RA
ZHSE_COORDINATOR,EHSM_MOC
ZHSE_INSPECTOR,EHSM_PTW
ZHSE_INSPECTOR,EHSM_AUDIT
ZHSE_INSPECTOR,EHSM_RA
ZMM_BUYER,ME21N
ZMM_BUYER,ME22N
ZMM_BUYER,ME23N
ZMM_BUYER,ME51N
ZMM_BUYER,ME2N
ZMM_WAREHOUSE,MIGO
ZMM_WAREHOUSE,MI01
ZMM_WAREHOUSE,MI04
ZMM_WAREHOUSE,MB51
ZFI_ACCOUNTANT,FB01
ZFI_ACCOUNTANT,FB50
ZFI_ACCOUNTANT,F.01
ZFI_ACCOUNTANT,S_ALR_87012284
ZFI_ACCOUNTANT,FB08
ZFI_ACCOUNTANT,FS00
ZFI_AP_CLERK,FB60
ZFI_AP_CLERK,F110
ZFI_AP_CLERK,FK01
ZFI_AP_CLERK,FBL1N
ZFI_CONTROLLER,KS01
ZFI_CONTROLLER,KS02
ZFI_CONTROLLER,KO01
ZFI_CONTROLLER,KSB1
ZHR_ADMIN,PA30
ZHR_ADMIN,CAT2
ZHR_PAYROLL,PC00_M99_CIPE
ZHR_PAYROLL,PT60
ZHR_PAYROLL,CAT2
ZQM_INSPECTOR,QA01
ZQM_INSPECTOR,QA02
ZQM_INSPECTOR,QE01
ZQM_INSPECTOR,QA11
ZQM_MANAGER,QA01
ZQM_MANAGER,QA02
ZQM_MANAGER,QE01
ZQM_MANAGER,QA11
ZQM_MANAGER,QM01
ZQM_MANAGER,QS21
ZPP_PLANNER,CO01
ZPP_PLANNER,CO11N
ZPP_PLANNER,MD04
ZSD_SHIPPING,VL01N
ZSD_SHIPPING,MIGO
ZEH_SPECIALIST,EHSM_INC
ZEH_SPECIALIST,EHSM_RA
ZEH_SPECIALIST,EHSM_AUDIT
ZEH_SPECIALIST,EHSM_CHEM
ZEH_SPECIALIST,EHSM_MOC
ZPM_CALIBRATION,IQS8
ZPM_CALIBRATION,IK01
ZPM_CALIBRATION,IK11
ZPM_CALIBRATION,IW31
ZPM_CALIBRATION,IW41
ZIT_BASIS,SU01
ZIT_BASIS,PFCG
ZIT_BASIS,SM21
ZIT_BASIS,SE16
ZIT_BASIS,STMS
