user_id,role_id
MF001,S4_PP_SUPERVISOR
MF001,S4_QM_INSPECTOR
MF002,S4_PP_PLANNER
MF003,S4_PP_SUPERVISOR
MF003,S4_PP_PLANNER
MF004,S4_MES_OPERATOR
MF005,S4_PP_PLANNER
MF006,S4_PP_PLANNER
MF006,S4_QM_MANAGER
MF007,S4_PP_SUPERVISOR
MF008,S4_PP_SUPERVISOR
MF009,S4_MES_OPERATOR
MF010,S4_PP_SUPERVISOR
MF010,S4_MES_OPERATOR
MF011,S4_QM_MANAGER
MF011,S4_QM_AUDITOR
MF012,S4_QM_INSPECTOR
MF013,S4_QM_INSPECTOR
MF013,S4_QM_MANAGER
MF014,S4_QM_INSPECTOR
MF015,S4_QM_INSPECTOR
MF015,S4_MM_HANDLER
MF016,S4_QM_INSPECTOR
MF017,S4_QM_AUDITOR
MF018,S4_QM_INSPECTOR
MF019,S4_QM_INSPECTOR
MF020,S4_QM_INSPECTOR
MF021,S4_PM_PLANNER
MF021,S4_PM_ENGINEER
MF022,S4_PM_PLANNER
MF023,S4_PM_TECHNICIAN
MF024,S4_PM_ENGINEER
MF025,S4_PM_TECHNICIAN
MF026,S4_PM_PLANNER
MF026,S4_PM_TECHNICIAN
MF027,S4_PM_TECHNICIAN
MF028,S4_PM_PLANNER
MF029,S4_PM_TECHNICIAN
MF029,S4_QM_INSPECTOR
MF030,S4_PM_PLANNER
MF030,S4_PM_TECHNICIAN
MF031,S4_MM_PURCHASER
MF032,S4_MM_PURCHASER
MF032,S4_PP_PLANNER
MF033,S4_PP_PLANNER
MF034,S4_PP_PLANNER
MF034,S4_MM_PURCHASER
MF035,S4_MM_PURCHASER
MF036,S4_MM_PURCHASER
MF037,S4_SD_SHIPPING
MF037,S4_MM_HANDLER
MF038,S4_MM_PURCHASER
MF039,S4_MM_PURCHASER
MF039,S4_FI_AP
MF040,S4_MM_PURCHASER
MF041,S4_MM_WAREHOUSE
MF041,S4_MM_INVENTORY
MF042,S4_MM_WAREHOUSE
MF043,S4_MM_HANDLER
MF044,S4_MM_INVENTORY
MF044,S4_MM_HANDLER
MF045,S4_MM_HANDLER
MF046,S4_SD_SHIPPING
MF046,S4_MM_HANDLER
MF047,S4_MM_HANDLER
MF048,S4_MM_INVENTORY
MF049,S4_MM_HANDLER
MF050,S4_MM_HANDLER
MF051,S4_PP_PLANNER
MF051,S4_QM_MANAGER
MF052,S4_PP_PLANNER
MF053,S4_PP_PLANNER
MF054,S4_PP_PLANNER
MF055,S4_PP_PLANNER
MF056,S4_PP_PLANNER
MF057,S4_PP_PLANNER
MF058,S4_PP_PLANNER
MF059,S4_PP_PLANNER
MF059,S4_PP_SUPERVISOR
MF060,S4_PP_PLANNER
MF061,S4_EHS_SPECIALIST
MF061,S4_QM_MANAGER
MF062,S4_EHS_SPECIALIST
MF063,S4_EHS_SPECIALIST
MF064,S4_EHS_SPECIALIST
MF065,S4_EHS_SPECIALIST
MF066,S4_EHS_SPECIALIST
MF067,S4_EHS_SPECIALIST
MF068,S4_EHS_SPECIALIST
MF068,S4_QM_AUDITOR
MF069,S4_EHS_SPECIALIST
MF070,S4_EHS_SPECIALIST
MF081,S4_FI_GL
MF081,S4_FI_COST
MF082,S4_FI_COST
MF083,S4_FI_AP
MF084,S4_FI_GL
MF085,S4_FI_GL
MF085,S4_FI_COST
MF086,S4_FI_GL
MF087,S4_FI_COST
MF087,S4_FI_GL
MF088,S4_FI_COST
MF089,S4_FI_GL
MF090,S4_FI_AP
MF099,S4_FI_COST
MF099,S4_PP_SUPERVISOR
MF100,S4_PP_SUPERVISOR
MF100,S4_FI_COST
