permission_id,permission_name,description,system,risk_level
FB60,Enter Invoice,Post vendor invoices to accounts payable,SAP ECC,Medium
FB65,Preliminary Invoice Entry,Enter vendor invoices as parked documents,SAP ECC,Low
F110,Automatic Payment Run,Execute automatic payment program,SAP ECC,Critical
FK01,Create Vendor Master,Create new vendor master records,SAP ECC,High
FK02,Change Vendor Master,Modify existing vendor master records,SAP ECC,Medium
FBL1N,Vendor Line Items,Display vendor account line items,SAP ECC,Low
FB70,Enter Customer Invoice,Post customer invoices,SAP ECC,Medium
FD01,Create Customer Master,Create new customer master records,SAP ECC,High
FD02,Change Customer Master,Modify customer master records,SAP ECC,Medium
F-28,Post Incoming Payment,Post customer payments,SAP ECC,Medium
FBL5N,Customer Line Items,Display customer account line items,SAP ECC,Low
FB01,Post Document,Post general ledger documents,SAP ECC,Medium
FB50,GL Account Posting,Post to general ledger accounts,SAP ECC,Medium
F.01,Financial Statements,Generate balance sheet and P&L,SAP ECC,Low
S_ALR_87012284,GL Account Balances,Display GL account balances,SAP ECC,Low
KS01,Create Cost Center,Create new cost centers,SAP ECC,High
KS02,Change Cost Center,Modify cost centers,SAP ECC,Medium
KO01,Create Internal Order,Create internal orders for cost tracking,SAP ECC,Medium
FF7A,Cash Position,Display cash position and forecasts,SAP ECC,Low
FF_5,Bank Statement Processing,Process electronic bank statements,SAP ECC,Medium
FCHI,Check Information,Manage check registers and void checks,SAP ECC,Medium
ME21N,Create Purchase Order,Create purchase orders,SAP ECC,Medium
ME22N,Change Purchase Order,Modify purchase orders,SAP ECC,Medium
ME23N,Display Purchase Order,View purchase order details,SAP ECC,Low
ME51N,Create Purchase Requisition,Create purchase requisitions,SAP ECC,Low
ME59N,Auto-generate POs from PRs,Convert requisitions to purchase orders,SAP ECC,Medium
XK01,Create Vendor,Create vendor master records (all views),SAP ECC,Critical
MIGO,Goods Movement,"Post goods receipts, issues, and transfers",SAP ECC,Medium
MI01,Create Physical Inventory,Create physical inventory documents,SAP ECC,Medium
MI04,Enter Inventory Count,Enter physical inventory count results,SAP ECC,Medium
LS01,Create Storage Bin,Create warehouse storage bins,SAP ECC,Low
LT01,Create Transfer Order,Create warehouse transfer orders,SAP ECC,Medium
IW31,Create Maintenance Order,Create PM work orders,SAP ECC,Medium
IW32,Change Maintenance Order,Modify PM work orders,SAP ECC,Medium
IW38,Display Order List,View maintenance order lists,SAP ECC,Low
IW21,Create Notification,Create PM notifications,SAP ECC,Low
IW28,Change Notification,Modify PM notifications,SAP ECC,Low
IA01,Create Equipment,Create equipment master records,SAP ECC,Medium
QA01,Create Inspection Lot,Create quality inspection lots,SAP ECC,Medium
QA02,Change Inspection Lot,Modify quality inspection lots,SAP ECC,Medium
QE01,Record Results,Enter inspection results,SAP ECC,Low
QA11,Record Usage Decision,Record quality usage decision,SAP ECC,Medium
QM01,Create Quality Notification,Create quality notifications,SAP ECC,Low
PA20,Display HR Master Data,View employee personnel records,SAP ECC,Low
PA30,Maintain HR Master Data,Create and modify employee records,SAP ECC,High
PC00_M99_CIPE,Run Payroll,Execute payroll processing runs,SAP ECC,Critical
SU01,User Administration,Create and manage system user accounts,SAP ECC,Critical
SU10,Mass User Changes,Perform mass changes to user accounts,SAP ECC,Critical
VA01,Create Sales Order,Create customer sales orders,SAP ECC,Medium
VA02,Change Sales Order,Modify customer sales orders,SAP ECC,Medium
VL01N,Create Delivery,Create outbound delivery documents,SAP ECC,Medium
VF01,Create Billing Document,Create customer billing documents,SAP ECC,Medium
SM21,System Log,View system log entries,SAP ECC,Low
ST22,ABAP Dump Analysis,Analyze program runtime errors,SAP ECC,Low
SM37,Job Overview,Monitor and manage background jobs,SAP ECC,Low
SE16,Data Browser,Display table contents directly,SAP ECC,High
SE38,ABAP Editor,Create and modify ABAP programs,SAP ECC,Critical
STMS,Transport Management,Manage transport requests,SAP ECC,High
F-02,Post General Ledger Document,Post documents to general ledger,SAP ECC,Medium
FB08,Reverse Document,Reverse posted financial documents,SAP ECC,High
F-03,Clear GL Account,Clear open items in GL accounts,SAP ECC,Medium
FD32,Change Customer Credit,Modify customer credit limits,SAP ECC,High
MIRO,Enter Incoming Invoice,Enter and verify vendor invoices against PO,SAP ECC,Medium
MB51,Material Document List,Display material document list,SAP ECC,Low
MM02,Change Material Master,Modify material master records,SAP ECC,Medium
MM01,Create Material Master,Create new material master records,SAP ECC,High
IW41,Confirm Maintenance Order,Record order confirmations,SAP ECC,Low
IP10,Schedule Maintenance Plan,Schedule preventive maintenance plans,SAP ECC,Medium
QS21,Create Inspection Plan,Create quality inspection plans,SAP ECC,Medium
CAT2,Time Entry,Enter employee time records,SAP ECC,Low
PT60,Time Evaluation,Evaluate employee time records,SAP ECC,Medium
PFCG,Role Administration,Create and maintain authorization roles,SAP ECC,Critical
SUIM,User Information System,Analyze user authorizations,SAP ECC,Medium
CEWB,Engineering Workbench,Manage engineering change records,SAP ECC,Medium
CV01N,Create Document Info Record,Create document info records,SAP ECC,Medium
