permission_id,permission_name,description,system,risk_level
F0717,Manage Supplier Invoices,Process and post supplier invoices in Fiori,S/4HANA,Medium
F0718,Approve Supplier Invoices,Approve invoices above threshold in Fiori,S/4HANA,High
F2424,Manage Automatic Payments,Configure and run automatic payment programs,S/4HANA,Critical
F0743,Manage Supplier Master,Create and maintain supplier master data,S/4HANA,High
F1603,Post Customer Invoices,Create and post customer billing documents,S/4HANA,Medium
F2170,Manage Customer Master,Create and maintain customer master data,S/4HANA,High
F2625,Manage Customer Payments,Post and clear customer incoming payments,S/4HANA,Medium
F0716,Post Journal Entries,Create and post manual journal entries,S/4HANA,Medium
F0814,Close Period,Execute period-end closing activities,S/4HANA,Critical
F2312,Run Financial Reports,Generate financial statements and reports,S/4HANA,Low
F2872,Manage Cost Centers,Create and maintain cost center master data,S/4HANA,Medium
F3382,Manage Cash Position,Monitor and manage cash positions,S/4HANA,Low
F1074,Create Purchase Orders,Create and process purchase orders in Fiori,S/4HANA,Medium
F1076,Approve Purchase Orders,Approve purchase orders above threshold,S/4HANA,High
F1489,Manage Contracts,Create and manage purchasing contracts,S/4HANA,Medium
F2093,Post Goods Receipt,Record goods receipts against purchase orders,S/4HANA,Medium
F2094,Post Goods Issue,Record goods issues for consumption or delivery,S/4HANA,Medium
F3721,Manage Physical Inventory,Create counts and post inventory adjustments,S/4HANA,Medium
F0893,Create Maintenance Orders,Create and schedule maintenance work orders,S/4HANA,Medium
F0894,Confirm Maintenance,Record time and material on work orders,S/4HANA,Low
F0895,Manage Equipment,Create and maintain equipment master records,S/4HANA,Medium
F5782,Record QM Results,Enter and evaluate quality inspection results,S/4HANA,Low
F5783,Manage QM Plans,Create quality inspection plans and specs,S/4HANA,Medium
F2721,Maintain Employee Data,Create and modify employee master records,S/4HANA,High
F2722,Run Payroll,Execute payroll calculation and posting,S/4HANA,Critical
F3891,Create Sales Orders,Create and process sales orders in Fiori,S/4HANA,Medium
F3892,Process Deliveries,Create outbound deliveries and post goods issue,S/4HANA,Medium
F7721,Manage Users,Create and maintain user accounts and roles,S/4HANA,Critical
F7722,Manage Authorizations,Configure role-based access control,S/4HANA,Critical
F0719,Reverse Documents,Reverse posted financial documents,S/4HANA,High
F0720,Clear Accounts,Clear open items on GL and subledger accounts,S/4HANA,Medium
F2313,Manage GL Master,Create and modify GL account master records,S/4HANA,High
F2626,Manage Credit Limits,Set and modify customer credit limits,S/4HANA,High
