user_id,role_id
U00003,S4_PROC_BUYER
U00003,S4_PROC_MANAGER
U00005,S4_PROC_MANAGER
U00005,S4_PROC_BUYER
U00006,S4_QM_SPECIALIST
U00007,S4_IT_ADMIN
U00008,S4_AP_INV_PROC
U00008,S4_AR_CREDIT
U00009,S4_IT_ADMIN
U00013,S4_AP_PAY_SPEC
U00014,S4_AP_INV_PROC
U00014,S4_AP_PAY_SPEC
U00015,S4_HR_SPECIALIST
U00016,S4_AP_INV_PROC
U00017,S4_AP_PAY_SPEC
U00019,S4_AP_PAY_SPEC
U00019,S4_AP_INV_PROC
U00020,S4_AP_PAY_SPEC
U00020,S4_AP_INV_PROC
U00022,S4_SALES_REP
U00023,S4_MAINT_TECH
U00024,S4_MAINT_TECH
U00026,S4_AP_PAY_SPEC
U00027,S4_COST_ANALYST
U00028,S4_MAINT_TECH
U00030,S4_MAINT_TECH
U00031,S4_AP_PAY_SPEC
U00033,S4_AP_INV_PROC
U00036,S4_QM_SPECIALIST
U00037,S4_MAINT_TECH
U00037,S4_MAINT_PLANNER
U00038,S4_AP_PAY_SPEC
U00039,S4_PROC_BUYER
U00040,S4_QM_SPECIALIST
U00043,S4_MAINT_PLANNER
U00044,S4_PROC_MANAGER
U00048,S4_AP_INV_PROC
U00050,S4_AP_INV_PROC
U00052,S4_PROC_BUYER
U00053,S4_MAINT_PLANNER
U00054,S4_PROC_BUYER
U00057,S4_MAINT_PLANNER
U00058,S4_SALES_REP
U00060,S4_AP_PAY_SPEC
U00061,S4_AP_INV_PROC
U00062,S4_INV_SPECIALIST
U00064,S4_AP_PAY_SPEC
U00065,S4_COST_ANALYST
U00066,S4_AP_INV_PROC
U00067,S4_IT_ADMIN
U00068,S4_IT_ADMIN
U00069,S4_MAINT_TECH
U00072,S4_AP_INV_PROC
U00073,S4_AP_INV_PROC
U00074,S4_IT_ADMIN
U00078,S4_IT_ADMIN
U00080,S4_AP_PAY_SPEC
U00081,S4_PROC_BUYER
U00083,S4_WH_MANAGER
U00083,S4_INV_SPECIALIST
U00084,S4_AR_BILLING
U00087,S4_AP_PAY_SPEC
U00087,S4_AP_INV_PROC
U00088,S4_COST_ANALYST
U00089,S4_GL_CONTROLLER
U00090,S4_QM_SPECIALIST
U00091,S4_MAINT_PLANNER
U00094,S4_AP_PAY_SPEC
U00096,S4_SALES_REP
U00097,S4_IT_ADMIN
U00098,S4_AR_BILLING
U00099,S4_MAINT_PLANNER
U00099,S4_MAINT_TECH
U00100,S4_AP_PAY_SPEC
U00102,S4_TREASURY_MGR
U00103,S4_QM_SPECIALIST
U00105,S4_TREASURY_MGR
U00106,S4_AP_PAY_SPEC
U00106,S4_AP_INV_PROC
U00108,S4_COST_ANALYST
U00109,S4_QM_SPECIALIST
U00110,S4_SALES_REP
U00111,S4_AP_INV_PROC
U00112,S4_HR_SPECIALIST
U00113,S4_AP_PAY_SPEC
U00113,S4_AP_INV_PROC
U00114,S4_IT_ADMIN
U00115,S4_SALES_REP
U00117,S4_MAINT_PLANNER
U00118,S4_PROC_BUYER
U00119,S4_TREASURY_MGR
U00121,S4_MAINT_TECH
U00122,S4_WH_MANAGER
U00122,S4_INV_SPECIALIST
U00123,S4_MAINT_PLANNER
U00125,S4_PROC_BUYER
U00126,S4_MAINT_TECH
U00130,S4_PROC_MANAGER
U00131,S4_AP_PAY_SPEC
U00133,S4_AP_PAY_SPEC
U00133,S4_AP_INV_PROC
U00134,S4_AP_INV_PROC
U00135,S4_QM_SPECIALIST
U00136,S4_AP_INV_PROC
U00138,S4_AP_PAY_SPEC
U00138,S4_AP_INV_PROC
U00140,S4_IT_ADMIN
U00141,S4_AP_INV_PROC
U00141,S4_AP_PAY_SPEC
U00142,S4_TREASURY_MGR
U00143,S4_WH_MANAGER
U00144,S4_AP_PAY_SPEC
U00145,S4_PROC_MANAGER
U00146,S4_HR_SPECIALIST
U00147,S4_COST_ANALYST
U00147,S4_GL_ACCOUNTANT
U00149,S4_WH_MANAGER
U00152,S4_AP_INV_PROC
U00153,S4_TREASURY_MGR
U00156,S4_HR_SPECIALIST
U00157,S4_WH_MANAGER
U00158,S4_GL_CONTROLLER
U00159,S4_AP_INV_PROC
U00159,S4_AP_PAY_SPEC
U00160,S4_PROC_MANAGER
U00161,S4_PROC_MANAGER
U00162,S4_AP_INV_PROC
U00164,S4_IT_ADMIN
U00165,S4_WH_MANAGER
U00165,S4_INV_SPECIALIST
U00166,S4_TREASURY_MGR
U00166,S4_GL_ACCOUNTANT
U00168,S4_QM_SPECIALIST
U00169,S4_QM_SPECIALIST
U00170,S4_AP_INV_PROC
U00170,S4_AP_PAY_SPEC
U00171,S4_PROC_BUYER
U00172,S4_AP_INV_PROC
U00178,S4_GL_ACCOUNTANT
U00183,S4_HR_SPECIALIST
U00184,S4_QM_SPECIALIST
U00185,S4_MAINT_TECH
U00187,S4_AP_PAY_SPEC
U00188,S4_MAINT_TECH
U00188,S4_MAINT_PLANNER
U00191,S4_QM_SPECIALIST
U00192,S4_QM_SPECIALIST
U00193,S4_MAINT_TECH
U00193,S4_MAINT_PLANNER
U00195,S4_AP_PAY_SPEC
U00196,S4_AP_PAY_SPEC
U00197,S4_QM_SPECIALIST
U00198,S4_AP_PAY_SPEC
U00198,S4_AP_INV_PROC
U00201,S4_HR_SPECIALIST
U00202,S4_GL_ACCOUNTANT
U00206,S4_MAINT_PLANNER
U00207,S4_PROC_MANAGER
U00207,S4_PROC_BUYER
U00208,S4_MAINT_TECH
U00209,S4_MAINT_PLANNER
U00209,S4_MAINT_TECH
U00211,S4_GL_CONTROLLER
U00211,S4_GL_ACCOUNTANT
U00212,S4_AP_PAY_SPEC
U00213,S4_HR_SPECIALIST
U00215,S4_AP_PAY_SPEC
U00217,S4_AP_PAY_SPEC
U00219,S4_AP_PAY_SPEC
U00220,S4_MAINT_TECH
U00222,S4_AP_PAY_SPEC
U00224,S4_PROC_MANAGER
U00224,S4_PROC_BUYER
U00226,S4_PROC_BUYER
U00227,S4_AR_BILLING
U00229,S4_AP_INV_PROC
U00230,S4_QM_SPECIALIST
U00231,S4_AR_CREDIT
U00231,S4_GL_ACCOUNTANT
U00234,S4_WH_MANAGER
U00235,S4_TREASURY_MGR
U00235,S4_AP_PAY_SPEC
U00236,S4_AP_INV_PROC
U00237,S4_MAINT_TECH
U00237,S4_MAINT_PLANNER
U00238,S4_WH_MANAGER
U00240,S4_AR_CREDIT
U00240,S4_COST_ANALYST
U00241,S4_AP_PAY_SPEC
U00242,S4_INV_SPECIALIST
U00242,S4_WH_MANAGER
U00243,S4_WH_MANAGER
U00244,S4_PROC_BUYER
U00245,S4_HR_SPECIALIST
U00246,S4_IT_ADMIN
U00247,S4_WH_MANAGER
U00247,S4_INV_SPECIALIST
U00248,S4_PROC_BUYER
U00248,S4_PROC_MANAGER
U00249,S4_QM_SPECIALIST
U00250,S4_IT_ADMIN
U00251,S4_PROC_BUYER
U00253,S4_SALES_REP
U00255,S4_AP_PAY_SPEC
U00255,S4_AP_INV_PROC
U00257,S4_AP_INV_PROC
U00257,S4_AP_PAY_SPEC
U00258,S4_HR_SPECIALIST
U00260,S4_SALES_REP
U00262,S4_AP_INV_PROC
U00266,S4_AP_PAY_SPEC
U00267,S4_IT_ADMIN
U00269,S4_AP_INV_PROC
U00270,S4_MAINT_PLANNER
U00271,S4_SALES_REP
U00272,S4_HR_SPECIALIST
U00273,S4_AP_PAY_SPEC
