role_id,permission_id
EBS_AP_CLERK,ORA_AP_INV_CREATE
EBS_AP_CLERK,ORA_AP_SUPPLIER_UPDATE
EBS_AP_MANAGER,ORA_AP_INV_CREATE
EBS_AP_MANAGER,ORA_AP_INV_APPROVE
EBS_AP_MANAGER,ORA_AP_PAY_CREATE
EBS_AP_MANAGER,ORA_AP_PAY_RUN
EBS_AP_MANAGER,ORA_AP_SUPPLIER_CREATE
EBS_AP_MANAGER,ORA_AP_SUPPLIER_UPDATE
EBS_AP_MANAGER,ORA_AP_INV_CANCEL
EBS_AR_CLERK,ORA_AR_INV_CREATE
EBS_AR_CLERK,ORA_AR_RECEIPT
EBS_AR_MANAGER,ORA_AR_INV_CREATE
EBS_AR_MANAGER,ORA_AR_RECEIPT
EBS_AR_MANAGER,ORA_AR_CUST_CREATE
EBS_AR_MANAGER,ORA_AR_CREDIT_REVIEW
EBS_AR_MANAGER,ORA_AR_ADJUST
EBS_GL_ACCOUNTANT,ORA_GL_JOURNAL_POST
EBS_GL_ACCOUNTANT,ORA_GL_REPORT
EBS_GL_ACCOUNTANT,ORA_GL_REVERSE
EBS_GL_CONTROLLER,ORA_GL_JOURNAL_POST
EBS_GL_CONTROLLER,ORA_GL_PERIOD_CLOSE
EBS_GL_CONTROLLER,ORA_GL_COA_MANAGE
EBS_GL_CONTROLLER,ORA_GL_REPORT
EBS_GL_CONTROLLER,ORA_GL_REVERSE
EBS_PO_BUYER,ORA_PO_CREATE
EBS_PO_BUYER,ORA_REQ_CREATE
EBS_PO_BUYER,ORA_PO_CANCEL
EBS_PO_MANAGER,ORA_PO_CREATE
EBS_PO_MANAGER,ORA_PO_APPROVE
EBS_PO_MANAGER,ORA_REQ_CREATE
EBS_PO_MANAGER,ORA_PO_CONTRACT
EBS_PO_MANAGER,ORA_PO_CANCEL
EBS_INV_CLERK,ORA_INV_RECEIPT
EBS_INV_CLERK,ORA_INV_ISSUE
EBS_INV_CLERK,ORA_INV_COUNT
EBS_INV_MANAGER,ORA_INV_RECEIPT
EBS_INV_MANAGER,ORA_INV_ISSUE
EBS_INV_MANAGER,ORA_INV_COUNT
EBS_INV_MANAGER,ORA_INV_SUBINV
EBS_OM_CLERK,ORA_OM_ORDER_CREATE
EBS_OM_CLERK,ORA_OM_ORDER_BOOK
EBS_OM_MANAGER,ORA_OM_ORDER_CREATE
EBS_OM_MANAGER,ORA_OM_ORDER_BOOK
EBS_OM_MANAGER,ORA_OM_SHIP_CONFIRM
EBS_HR_CLERK,ORA_HR_EMP_UPDATE
EBS_HR_MANAGER,ORA_HR_EMP_CREATE
EBS_HR_MANAGER,ORA_HR_EMP_UPDATE
EBS_HR_MANAGER,ORA_HR_ORG_MANAGE
EBS_PAY_CLERK,ORA_PAY_RUN
EBS_PAY_CLERK,ORA_PAY_VOID
EBS_FA_ACCOUNTANT,ORA_FA_ADD
EBS_FA_ACCOUNTANT,ORA_FA_TRANSFER
EBS_FA_ACCOUNTANT,ORA_FA_DEPRECIATE
EBS_CM_ANALYST,ORA_CM_RECONCILE
EBS_CM_ANALYST,ORA_CM_CASHPOS
EBS_WIP_PLANNER,ORA_WIP_CREATE
EBS_WIP_PLANNER,ORA_WIP_COMPLETE
EBS_QA_INSPECTOR,ORA_QA_ENTER
EBS_QA_INSPECTOR,ORA_QA_APPROVE
EBS_SYSADMIN,ORA_SYS_USER_MANAGE
EBS_SYSADMIN,ORA_SYS_RESP_MANAGE
