rule_id,rule_name,permission_a,permission_b,severity,risk_description
SOD-AP-001,Vendor Create vs Payment Execution,FK01,F110,Critical,User who can create vendors and execute payments can create fictitious vendors and immediately pay them.
SOD-AP-002,Invoice Entry vs Payment Execution,FB60,F110,Critical,User who enters invoices and runs payments can create and pay fraudulent invoices.
SOD-AP-003,Vendor Create vs Invoice Entry,FK01,FB60,High,User who creates vendors and enters invoices can fabricate vendor relationships.
SOD-AP-004,Vendor Change vs Payment Execution,FK02,F110,High,User who changes vendor bank details and runs payments can redirect payments.
SOD-AP-005,Invoice Entry vs Vendor Change,FB60,FK02,Medium,User can change vendor data to match fraudulent invoices.
SOD-AR-001,Customer Create vs Credit Management,FD01,FD32,High,User who creates customers and sets credit limits can extend inappropriate credit.
SOD-AR-002,Customer Create vs Payment Posting,FD01,F-28,High,User who creates customers and posts payments can create fictitious customer transactions.
SOD-AR-003,Customer Invoice vs Payment Posting,FB70,F-28,Medium,User who invoices and posts payments can manipulate customer balances.
SOD-GL-001,Journal Entry vs Period Close,FB01,OB52,Critical,User who posts journals and controls periods can post unauthorized entries to closed periods.
SOD-GL-002,Journal Entry vs Document Reversal,FB01,FB08,High,User who posts and reverses journals can manipulate financial records.
SOD-GL-003,GL Master vs Journal Entry,FS00,FB01,High,User who creates GL accounts and posts to them can establish hidden accounts.
SOD-GL-004,Journal Entry vs Financial Statements,FB01,F.01,Medium,User who posts journals and generates statements can manipulate reporting.
SOD-MM-001,PO Create vs Goods Receipt,ME21N,MIGO,High,User who creates POs and receives goods can fabricate procurement transactions.
SOD-MM-002,PO Create vs Invoice Entry,ME21N,FB60,High,User who creates POs and enters invoices can authorize fraudulent purchases.
SOD-MM-003,Vendor Create vs PO Create,XK01,ME21N,Critical,User who creates vendors and POs can set up fictitious supply chains.
SOD-MM-004,PR Create vs PO Create,ME51N,ME21N,Medium,User who creates requisitions and POs can bypass approval controls.
SOD-MM-005,PO Create vs PO Approve,ME21N,ME59N,High,User who creates and auto-converts POs bypasses segregation.
SOD-WM-001,Goods Receipt vs Inventory Count,MIGO,MI04,High,User who receives goods and counts inventory can conceal discrepancies.
SOD-WM-002,Material Create vs Goods Movement,MM01,MIGO,Medium,User who creates materials and moves goods can fabricate stock.
SOD-PM-001,Create Maintenance Order vs Confirm,IW31,IW41,Medium,User who creates and confirms orders can fabricate maintenance work.
SOD-HR-001,Maintain Employee Data vs Run Payroll,PA30,PC00_M99_CIPE,Critical,User who maintains employee records and runs payroll can create ghost employees.
SOD-HR-002,Maintain Employee Data vs Time Entry,PA30,CAT2,High,User who maintains HR data and enters time can inflate compensation.
SOD-IT-001,User Admin vs Role Admin,SU01,PFCG,Critical,User who creates users and roles can grant themselves unlimited access.
SOD-IT-002,User Admin vs Transport Management,SU01,STMS,Critical,User who manages users and transports can move unauthorized changes to production.
SOD-IT-003,Program Execution vs Table Maintenance,SA38,SM30,Critical,User who runs programs and maintains tables can directly manipulate data.
SOD-IT-004,Data Browser vs User Admin,SE16,SU01,Critical,User who reads tables and manages users can extract and misuse credentials.
SOD-SD-001,Sales Order vs Billing,VA01,VF01,Medium,User who creates orders and billing can fabricate revenue.
SOD-SD-002,Sales Order vs Delivery,VA01,VL01N,Medium,User who creates orders and deliveries can ship unauthorized goods.
SOD-AP-006,Park Invoice vs Post Parked Doc,FB65,FBV0,Medium,User who parks and posts invoices bypasses verification controls.
SOD-GL-005,Foreign Currency Val vs Journal Entry,FAGL_FC_VAL,FB01,High,User who runs valuations and posts journals can manipulate FX impact.
SOD-GL-006,GL Account Create vs Period Close,FS00,OB52,High,User who creates accounts and controls periods can establish hidden balances.
SOD-MM-006,PO Change vs Goods Receipt,ME22N,MIGO,Medium,User who changes POs and receives goods can modify quantities after the fact.
