user_id,role_id
EC00003,S4PM_PLANNER
EC00003,S4PM_TECH
EC00004,S4HSE_INSPECTOR
EC00005,S4FI_CONTROLLER
EC00006,S4MM_BUYER
EC00009,S4IT_ADMIN
EC00010,S4IT_ADMIN
EC00011,S4PS_ENGINEER
EC00016,S4QM_MANAGER
EC00016,S4QM_INSPECTOR
EC00017,S4PP_PLANNER
EC00019,S4SD_SHIPPING
EC00020,S4PS_ENGINEER
EC00021,S4QM_MANAGER
EC00025,S4MM_BUYER
EC00026,S4IT_ADMIN
EC00028,S4MM_BUYER
EC00029,S4PS_ENGINEER
EC00030,S4PP_PLANNER
EC00031,S4PP_PLANNER
EC00032,S4QM_MANAGER
EC00035,S4PM_SUPERVISOR
EC00038,S4PS_ENGINEER
EC00039,S4MM_BUYER
EC00041,S4PS_ENGINEER
EC00042,S4PM_TECH
EC00043,S4PS_ENGINEER
EC00044,S4PS_ENGINEER
EC00047,S4PP_PLANNER
EC00048,S4HR_ADMIN
EC00048,S4HR_PAYROLL
EC00049,S4PP_PLANNER
EC00055,S4PP_PLANNER
EC00058,S4PM_TECH
EC00058,S4PM_PLANNER
EC00059,S4IT_ADMIN
EC00061,S4PS_ENGINEER
EC00063,S4IT_ADMIN
EC00065,S4PS_ENGINEER
EC00066,S4IT_ADMIN
EC00067,S4PS_ENGINEER
EC00070,S4HR_PAYROLL
EC00072,S4FI_CONTROLLER
EC00072,S4FI_AP
EC00073,S4SD_SHIPPING
EC00073,S4MM_WAREHOUSE
EC00077,S4PS_ENGINEER
EC00079,S4PM_PLANNER
EC00079,S4PM_TECH
EC00080,S4HSE_INSPECTOR
EC00082,S4HR_ADMIN
EC00084,S4PM_SUPERVISOR
EC00086,S4MM_BUYER
EC00092,S4PP_PLANNER
EC00094,S4PS_ENGINEER
EC00096,S4PM_TECH
EC00099,S4HSE_COORDINATOR
EC00099,S4HSE_INSPECTOR
EC00100,S4HSE_INSPECTOR
