user_id,role_id
FS001,S4_TR_DEALER
FS002,S4_TR_PORTFOLIO
FS002,S4_RM_MARKET
FS003,S4_RM_MARKET
FS003,S4_RM_CREDIT
FS004,S4_RM_MARKET
FS005,S4_CO_OFFICER
FS006,S4_CO_AML
FS007,S4_TR_BACK_OFFICE
FS008,S4_FI_FUND_ACCT
FS008,S4_FI_GL_ACCT
FS009,S4_TR_CASH_MGR
FS009,S4_TR_DEALER
FS010,S4_AU_AUDITOR
FS011,S4_TR_DEALER
FS012,S4_RM_CREDIT
FS013,S4_CO_REPORTING
FS014,S4_TR_BACK_OFFICE
FS015,S4_FI_CONTROLLER
FS016,S4_CS_MANAGER
FS017,S4_TR_DEALER
FS017,S4_TR_BACK_OFFICE
FS018,S4_RM_OPERATIONAL
FS019,S4_TR_CASH_MGR
FS020,S4_AU_AUDITOR
FS021,S4_TR_PORTFOLIO
FS022,S4_RM_MARKET
FS023,S4_CS_ONBOARDING
FS023,S4_CO_AML
FS024,S4_TR_BACK_OFFICE
FS025,S4_FI_AP_PROC
FS025,S4_FI_GL_ACCT
FS026,S4_AU_AUDITOR
FS027,S4_TR_DEALER
FS028,S4_RM_CREDIT
FS028,S4_RM_MARKET
FS029,S4_CO_AML
FS030,S4_TR_BACK_OFFICE
FS031,S4_FI_GL_ACCT
FS032,S4_TR_PORTFOLIO
FS033,S4_RM_CREDIT
FS034,S4_CO_OFFICER
FS035,S4_TR_BACK_OFFICE
FS036,S4_TR_CASH_MGR
FS036,S4_TR_BACK_OFFICE
FS037,S4_AU_AUDITOR
FS038,S4_CS_ONBOARDING
FS039,S4_TR_DEALER
FS040,S4_RM_MARKET
FS041,S4_CO_REPORTING
FS042,S4_TR_BACK_OFFICE
FS043,S4_FI_GL_ACCT
FS043,S4_FI_AR_PROC
FS044,S4_TR_DEALER
FS044,S4_TR_BACK_OFFICE
FS045,S4_CO_AML
FS046,S4_TR_BACK_OFFICE
FS047,S4_FI_FUND_ACCT
FS048,S4_CS_MANAGER
FS049,S4_AU_AUDITOR
FS050,S4_CO_OFFICER
FS051,S4_TR_PORTFOLIO
FS052,S4_RM_MARKET
FS053,S4_CO_AML
FS054,S4_TR_BACK_OFFICE
FS055,S4_FI_GL_ACCT
FS056,S4_TR_CASH_MGR
FS057,S4_CO_OFFICER
FS058,S4_AU_AUDITOR
FS059,S4_TR_BACK_OFFICE
FS060,S4_AU_AUDITOR
FS061,S4_FI_GL_ACCT
FS062,S4_AU_AUDITOR
FS063,S4_RM_MARKET
FS064,S4_TR_BACK_OFFICE
FS065,S4_FI_AP_PROC
FS066,S4_CO_OFFICER
FS067,S4_CS_MANAGER
FS068,S4_TR_DEALER
FS069,S4_RM_CREDIT
FS070,S4_CO_AML
FS070,S4_CO_OFFICER
FS071,S4_TR_BACK_OFFICE
FS072,S4_FI_CONTROLLER
FS072,S4_FI_AP_PROC
FS073,S4_TR_CASH_MGR
FS074,S4_CO_REPORTING
FS075,S4_TR_PORTFOLIO
FS076,S4_RM_MARKET
FS077,S4_TR_BACK_OFFICE
FS078,S4_FI_GL_ACCT
FS078,S4_FI_AP_PROC
FS079,S4_CO_OFFICER
FS080,S4_AU_AUDITOR
FS081,S4_TR_CASH_MGR
FS081,S4_TR_BACK_OFFICE
FS082,S4_CO_OFFICER
FS083,S4_FI_FUND_ACCT
FS083,S4_FI_AP_PROC
FS084,S4_TR_PORTFOLIO
FS085,S4_AU_AUDITOR
FS086,S4_TR_DEALER
FS087,S4_CO_REPORTING
FS088,S4_TR_BACK_OFFICE
FS089,S4_FI_GL_ACCT
FS090,S4_RM_CREDIT
FS090,S4_RM_MARKET
FS091,S4_TR_CASH_MGR
FS092,S4_CO_OFFICER
FS093,S4_AU_AUDITOR
FS094,S4_CS_MANAGER
FS095,S4_FI_GL_ACCT
FS095,S4_FI_CONTROLLER
FS096,S4_TR_CASH_MGR
FS096,S4_TR_BACK_OFFICE
FS097,S4_CO_OFFICER
FS098,S4_AU_AUDITOR
FS099,S4_AU_AUDITOR
FS100,S4_CS_MANAGER
FS009,S4_TR_BACK_OFFICE
FS015,S4_FI_AP_PROC
