user_id,role_id
SN001,itil
SN001,incident_manager
SN002,itil
SN003,itil
SN004,itil
SN005,itil
SN006,incident_manager
SN006,itil
SN007,incident_manager
SN008,itil
SN009,itil
SN010,itil
SN010,sn_sec_analyst
SN011,change_manager
SN012,itil
SN013,change_manager
SN013,sn_compliance
SN014,itil
SN015,change_manager
SN016,problem_manager
SN017,itil
SN018,itil
SN019,itil
SN020,cmdb_admin
SN021,itil
SN022,cmdb_admin
SN023,itil
SN024,itil
SN025,itil
SN025,sn_sla_admin
SN026,itil
SN026,sn_sla_admin
SN027,sn_sla_admin
SN028,sn_sla_admin
SN028,catalog_admin
SN029,catalog_admin
SN029,sn_request_mgr
SN030,sn_release_mgr
SN031,sn_release_mgr
SN032,itil
SN033,itil
SN034,itil
SN035,knowledge_admin
SN036,itil
SN037,itil
SN038,itil
SN039,knowledge_admin
SN039,admin
SN040,asset_manager
SN041,asset_manager
SN042,asset_manager
SN043,asset_manager
SN043,sn_compliance
SN044,asset_manager
SN045,sn_request_mgr
SN046,sn_request_mgr
SN046,itil
SN047,sn_request_mgr
SN048,sn_request_mgr
SN049,sn_request_mgr
SN049,catalog_admin
SN050,sn_sec_analyst
SN050,sn_compliance
SN051,sn_sec_analyst
SN052,sn_sec_analyst
SN053,sn_sec_analyst
SN054,sn_sec_analyst
SN055,admin
SN055,incident_manager
SN056,admin
SN057,admin
SN058,admin
SN059,admin
SN060,admin
SN060,sn_sla_admin
SN061,sn_compliance
SN062,sn_compliance
SN063,sn_compliance
SN063,sn_sec_analyst
SN064,sn_compliance
SN065,sn_compliance
SN066,admin
SN067,sn_platform_dev
SN068,sn_platform_dev
SN069,sn_integration
SN070,sn_report_admin
SN070,sn_compliance
SN071,sn_sla_admin
SN072,sn_sla_admin
SN073,sn_sla_admin
SN074,sn_vendor_mgr
SN075,sn_vendor_mgr
SN076,sn_vendor_mgr
SN076,sn_compliance
SN077,itil
SN078,itil
SN079,itil
SN080,itil
SN081,itil
SN082,itil
SN083,itil
SN084,itil
SN085,asset_manager
SN086,sn_request_mgr
SN086,itil
SN087,sn_sec_analyst
SN088,admin
SN089,sn_compliance
SN090,sn_platform_dev
SN091,itil
SN092,itil
SN093,itil
SN094,cmdb_admin
SN095,sn_sla_admin
SN096,itil
SN097,itil
SN098,asset_manager
SN099,sn_sec_analyst
SN099,sn_compliance
SN100,sn_compliance
