name,description,business_function
Accounts Receivable Processor,"Handles customer billing, payment processing, and collection activities.",Finance
Accounts Payable Processor,"Processes vendor invoices, manages payment runs, and maintains vendor records.",Finance
General Ledger Accountant,"Performs journal entries, period-end closing, and financial reporting.",Finance
Financial Controller,"Oversees financial statements, GL master data, and reporting integrity.",Finance
Cost Center Analyst,"Manages cost center accounting, internal orders, and cost allocation.",Finance
Treasury Analyst,"Manages cash positions, bank statements, and check processing.",Finance
Procurement Buyer,"Creates purchase orders, manages requisitions, and handles vendor sourcing.",Procurement
Strategic Procurement Manager,"Manages contracts, vendor relationships, and sourcing strategy.",Procurement
Warehouse Clerk,"Processes goods receipts, issues, and basic inventory transactions.",Warehouse
Inventory Manager,"Manages warehouse operations, physical inventory, and storage optimization.",Warehouse
Maintenance Planner,Plans and schedules preventive and corrective maintenance work orders.,Maintenance
Maintenance Technician,Executes maintenance orders and records confirmations and findings.,Maintenance
Maintenance Supervisor,"Oversees maintenance operations, approves work orders, manages equipment.",Maintenance
Quality Inspector,"Performs quality inspections, records results, and makes usage decisions.",Quality
Quality Manager,"Manages quality planning, notifications, and certification processes.",Quality
HR Administrator,Maintains employee master data and manages organizational structures.,HR
Payroll Processor,"Executes payroll runs, manages time evaluation, and handles payroll queries.",HR
Sales Order Processor,"Creates sales orders, manages deliveries, and handles billing.",Supply Chain
IT Basis Administrator,"Manages system users, roles, transports, and system monitoring.",IT
Vendor Management Specialist,Creates and maintains vendor master records across all procurement domains.,Procurement
Credit Management Analyst,Manages customer credit limits and collection strategies.,Finance
Supply Chain Coordinator,"Coordinates demand planning, logistics, and distribution activities.",Supply Chain
Production Planner,"Creates production orders, manages BOMs, and coordinates shop floor.",Operations
Engineering Specialist,"Manages engineering changes, document records, and technical specs.",Engineering
AP Senior Specialist,Handles complex AP transactions including GR/IR clearing and payment approvals.,Finance
AR Senior Specialist,Manages complex AR transactions including credit decisions and dispute resolution.,Finance
GL Senior Analyst,Handles complex GL operations including FX valuations and accruals.,Finance
Procurement Analyst,"Analyzes procurement spend, vendor performance, and contract compliance.",Procurement
Warehouse Receiving Specialist,Specializes in goods receipt processing and receiving inspection.,Warehouse
Shipping Coordinator,"Manages outbound deliveries, shipping schedules, and carrier coordination.",Supply Chain
Maintenance Reliability Engineer,"Focuses on equipment reliability, calibration, and predictive maintenance.",Maintenance
QA Documentation Specialist,"Manages quality documentation, inspection plans, and compliance records.",Quality
HR Business Partner,"Provides strategic HR support, workforce planning, and employee relations.",HR
Time Management Specialist,"Manages employee time recording, evaluation, and absence tracking.",HR
IT Security Administrator,"Manages authorization concepts, user access reviews, and security policies.",IT
IT Change Manager,"Manages transport requests, change control, and deployment processes.",IT
Financial Reporting Analyst,"Generates management reports, dashboard analytics, and variance analysis.",Finance
Budget Analyst,"Manages budgets, forecasts, and cost planning across business units.",Finance
Material Master Specialist,Creates and maintains material master records across all views.,Warehouse
Plant Operations Coordinator,"Coordinates plant operations, shift management, and resource allocation.",Operations
Environmental Compliance Specialist,"Manages environmental permits, waste tracking, and regulatory reporting.",Quality
Distribution Planner,"Plans distribution routes, manages carrier contracts, and optimizes logistics.",Supply Chain
Demand Planning Analyst,"Forecasts demand, manages safety stock, and coordinates replenishment.",Supply Chain
Asset Accountant,"Manages fixed asset records, depreciation runs, and asset transfers.",Finance
Internal Audit Analyst,"Reviews transaction logs, access patterns, and control effectiveness.",Finance
Process Engineer,Designs and optimizes manufacturing and operational processes.,Engineering
R&D Project Coordinator,"Manages research projects, lab resources, and intellectual property documentation.",Engineering
Facilities Coordinator,"Manages building maintenance, space allocation, and facility services.",Operations
Compliance Officer,"Monitors regulatory compliance, manages policy documentation, and conducts audits.",Quality
Data Governance Analyst,"Manages data quality, master data standards, and data lifecycle policies.",IT
