user_id,role_id
EC00003,S4PM_PLANNER
EC00003,S4PM_TECH
EC00004,S4HSE_INSPECTOR
EC00005,S4FI_CONTROLLER
EC00006,S4MM_BUYER
EC00009,S4IT_ADMIN
EC00010,S4IT_ADMIN
EC00011,S4PS_ENGINEER
EC00016,S4QM_MANAGER
EC00016,S4QM_INSPECTOR
EC00017,S4PP_PLANNER
EC00019,S4SD_SHIPPING
EC00020,S4PS_ENGINEER
EC00021,S4QM_MANAGER
EC00025,S4MM_BUYER
EC00026,S4IT_ADMIN
EC00028,S4MM_BUYER
EC00029,S4PS_ENGINEER
EC00030,S4PP_PLANNER
EC00031,S4PP_PLANNER
EC00032,S4QM_MANAGER
EC00035,S4PM_SUPERVISOR
EC00038,S4PS_ENGINEER
EC00039,S4MM_BUYER
EC00041,S4PS_ENGINEER
EC00042,S4PM_TECH
EC00043,S4PS_ENGINEER
EC00044,S4PS_ENGINEER
EC00047,S4PP_PLANNER
EC00048,S4HR_ADMIN
EC00048,S4HR_PAYROLL
EC00049,S4PP_PLANNER
EC00055,S4PP_PLANNER
EC00058,S4PM_TECH
EC00058,S4PM_PLANNER
EC00059,S4IT_ADMIN
EC00061,S4PS_ENGINEER
EC00063,S4IT_ADMIN
EC00065,S4PS_ENGINEER
EC00066,S4IT_ADMIN
EC00067,S4PS_ENGINEER
EC00070,S4HR_PAYROLL
EC00072,S4FI_CONTROLLER
EC00072,S4FI_AP
EC00073,S4SD_SHIPPING
EC00073,S4MM_WAREHOUSE
EC00077,S4PS_ENGINEER
EC00079,S4PM_PLANNER
EC00079,S4PM_TECH
EC00080,S4HSE_INSPECTOR
EC00082,S4HR_ADMIN
EC00084,S4PM_SUPERVISOR
EC00086,S4MM_BUYER
EC00092,S4PP_PLANNER
EC00094,S4PS_ENGINEER
EC00096,S4PM_TECH
EC00099,S4HSE_COORDINATOR
EC00099,S4HSE_INSPECTOR
EC00100,S4HSE_INSPECTOR
EC00104,S4PM_SUPERVISOR
EC00105,S4PP_PLANNER
EC00106,S4PP_PLANNER
EC00107,S4HSE_COORDINATOR
EC00109,S4PP_PLANNER
EC00111,S4FI_CONTROLLER
EC00113,S4HSE_COORDINATOR
EC00115,S4HR_PAYROLL
EC00115,S4HR_ADMIN
EC00117,S4QM_MANAGER
EC00118,S4PM_TECH
EC00121,S4HSE_COORDINATOR
EC00121,S4HSE_INSPECTOR
EC00124,S4HR_ADMIN
EC00130,S4IT_ADMIN
EC00131,S4PM_PLANNER
EC00132,S4PM_TECH
EC00133,S4PP_PLANNER
EC00135,S4PS_ENGINEER
EC00137,S4FI_AP
EC00138,S4IT_ADMIN
EC00140,S4MM_BUYER
EC00141,S4PS_ENGINEER
EC00145,S4PM_SUPERVISOR
EC00146,S4PP_PLANNER
EC00147,S4QM_MANAGER
EC00151,S4HSE_INSPECTOR
EC00151,S4HSE_COORDINATOR
EC00154,S4PP_PLANNER
EC00155,S4FI_CONTROLLER
EC00156,S4PP_PLANNER
EC00157,S4HR_ADMIN
EC00160,S4PM_SUPERVISOR
EC00161,S4FI_AP
EC00162,S4PM_PLANNER
EC00163,S4HSE_COORDINATOR
EC00165,S4PM_TECH
EC00168,S4MM_WAREHOUSE
EC00170,S4PM_SUPERVISOR
EC00172,S4MM_WAREHOUSE
EC00173,S4PM_TECH
EC00174,S4PS_ENGINEER
EC00175,S4PM_SUPERVISOR
EC00176,S4HSE_INSPECTOR
EC00176,S4HSE_COORDINATOR
EC00177,S4PM_TECH
EC00178,S4MM_WAREHOUSE
EC00178,S4SD_SHIPPING
EC00179,S4HSE_INSPECTOR
EC00180,S4IT_ADMIN
EC00181,S4PM_PLANNER
EC00182,S4PM_SUPERVISOR
EC00184,S4PS_ENGINEER
EC00190,S4MM_BUYER
EC00191,S4HR_ADMIN
EC00191,S4HR_PAYROLL
EC00193,S4PM_SUPERVISOR
EC00195,S4PP_PLANNER
EC00196,S4FI_AP
EC00198,S4PP_PLANNER
EC00199,S4PP_PLANNER
EC00200,S4HSE_COORDINATOR
EC00201,S4PM_SUPERVISOR
EC00202,S4PM_SUPERVISOR
EC00204,S4MM_BUYER
EC00205,S4PP_PLANNER
EC00206,S4HSE_INSPECTOR
EC00207,S4SD_SHIPPING
EC00208,S4MM_BUYER
EC00210,S4PP_PLANNER
EC00211,S4PP_PLANNER
EC00213,S4PM_TECH
EC00215,S4PP_PLANNER
EC00217,S4PP_PLANNER
EC00221,S4SD_SHIPPING
EC00222,S4MM_WAREHOUSE
EC00223,S4HSE_INSPECTOR
EC00227,S4PM_PLANNER
EC00227,S4PM_TECH
EC00228,S4MM_BUYER
EC00230,S4PM_TECH
EC00231,S4PP_PLANNER
EC00235,S4PM_PLANNER
EC00236,S4HSE_COORDINATOR
EC00239,S4PP_PLANNER
EC00240,S4HSE_COORDINATOR
EC00243,S4PM_PLANNER
EC00243,S4PM_TECH
EC00244,S4PP_PLANNER
