target_role_id,permission_id
S4_EAM_PLANNER,F4580
S4_EAM_PLANNER,F4581
S4_EAM_PLANNER,F4582
S4_EAM_PLANNER,F4570
S4_EAM_PLANNER,F4571
S4_EAM_PLANNER,F4600
S4_EAM_PLANNER,F4601
S4_EAM_PLANNER,F4610
S4_EAM_PLANNER,F4591
S4_EAM_PLANNER,F4593
S4_EAM_PLANNER,F4621
S4_EAM_TECHNICIAN,F4582
S4_EAM_TECHNICIAN,F4583
S4_EAM_TECHNICIAN,F4570
S4_EAM_TECHNICIAN,F4571
S4_EAM_TECHNICIAN,F4591
S4_EAM_TECHNICIAN,F4593
S4_EAM_TECHNICIAN,F4621
S4_EAM_SUPERVISOR,F4580
S4_EAM_SUPERVISOR,F4581
S4_EAM_SUPERVISOR,F4582
S4_EAM_SUPERVISOR,F4583
S4_EAM_SUPERVISOR,F4570
S4_EAM_SUPERVISOR,F4571
S4_EAM_SUPERVISOR,F4591
S4_EAM_SUPERVISOR,F4593
S4_EAM_SUPERVISOR,F4601
S4_EAM_CALIBRATION,F4620
S4_EAM_CALIBRATION,F4621
S4_EAM_CALIBRATION,F4590
S4_EAM_CALIBRATION,F4591
S4_EAM_CALIBRATION,F4582
S4_MM_PURCHASER,F2439
S4_MM_PURCHASER,F2440
S4_MM_PURCHASER,F2441
S4_MM_PURCHASER,F2425
S4_MM_PURCHASER,F2426
S4_MM_PURCHASER,F2451
S4_MM_PURCHASER,F3815
S4_MM_STRATEGIC,F2439
S4_MM_STRATEGIC,F2440
S4_MM_STRATEGIC,F2450
S4_MM_STRATEGIC,F2451
S4_MM_STRATEGIC,F0790
S4_MM_STRATEGIC,F3815
S4_MM_INVENTORY,F3002
S4_MM_INVENTORY,F3003
S4_MM_INVENTORY,F3004
S4_MM_INVENTORY,F3005
S4_MM_INVENTORY,F3737
S4_MM_INVENTORY,F3738
S4_MM_INVENTORY,F3815
S4_FI_GL_ACCOUNTANT,F0400
S4_FI_GL_ACCOUNTANT,F0710
S4_FI_GL_ACCOUNTANT,F0401
S4_FI_GL_ACCOUNTANT,F0402
S4_FI_AP_PROCESSOR,F0717
S4_FI_AP_PROCESSOR,F0718
S4_FI_AP_PROCESSOR,F0790
S4_FI_CONTROLLER,F5100
S4_FI_CONTROLLER,F5101
S4_FI_CONTROLLER,F5110
S4_FI_CONTROLLER,F5111
S4_FI_CONTROLLER,F0710
S4_HR_SPECIALIST,F7100
S4_HR_SPECIALIST,F7101
S4_HR_TIME_ADMIN,F7210
S4_HR_TIME_ADMIN,F7101
S4_HSE_COORDINATOR,FA100
S4_HSE_COORDINATOR,FA101
S4_HSE_COORDINATOR,FA130
S4_HSE_COMPLIANCE,FA110
S4_HSE_COMPLIANCE,FA120
S4_HSE_COMPLIANCE,FA130
S4_QM_INSPECTOR,F6100
S4_QM_INSPECTOR,F6101
S4_QM_MANAGER,F6100
S4_QM_MANAGER,F6101
S4_QM_MANAGER,F6110
S4_QM_MANAGER,F6120
S4_PP_SCHEDULER,F8100
S4_PP_SCHEDULER,F8101
S4_PP_SCHEDULER,F8110
S4_PS_PROJECT_MGR,F9100
S4_PS_PROJECT_MGR,F9101
S4_PS_PROJECT_MGR,F9110
S4_PS_PROJECT_MGR,F2439
