target_role_id,permission_id
S4_PP_SUPERVISOR,F3200
S4_PP_SUPERVISOR,F3201
S4_PP_SUPERVISOR,F3202
S4_PP_SUPERVISOR,F3203
S4_PP_SUPERVISOR,F3204
S4_PP_SUPERVISOR,F3501
S4_PP_SUPERVISOR,F3503
S4_PP_PLANNER,F3200
S4_PP_PLANNER,F3203
S4_PP_PLANNER,F3210
S4_PP_PLANNER,F3211
S4_PP_PLANNER,F3220
S4_PP_PLANNER,F3221
S4_PP_PLANNER,F3222
S4_PP_PLANNER,F3503
S4_MES_OPERATOR,F3201
S4_MES_OPERATOR,F3202
S4_MES_OPERATOR,F3203
S4_MES_OPERATOR,F3500
S4_MES_OPERATOR,F3501
S4_MES_OPERATOR,F3503
S4_QM_INSPECTOR,F3300
S4_QM_INSPECTOR,F3301
S4_QM_INSPECTOR,F3303
S4_QM_INSPECTOR,F3304
S4_QM_MANAGER,F3300
S4_QM_MANAGER,F3301
S4_QM_MANAGER,F3302
S4_QM_MANAGER,F3303
S4_QM_MANAGER,F3304
S4_QM_MANAGER,F3305
S4_QM_MANAGER,F3306
S4_QM_AUDITOR,F3300
S4_QM_AUDITOR,F3301
S4_QM_AUDITOR,F3304
S4_QM_AUDITOR,F3305
S4_PM_PLANNER,F3400
S4_PM_PLANNER,F3402
S4_PM_PLANNER,F3403
S4_PM_PLANNER,F3404
S4_PM_PLANNER,F3405
S4_PM_PLANNER,F3406
S4_PM_TECHNICIAN,F3401
S4_PM_TECHNICIAN,F3402
S4_PM_TECHNICIAN,F3500
S4_PM_TECHNICIAN,F3501
S4_PM_ENGINEER,F3404
S4_PM_ENGINEER,F3405
S4_PM_ENGINEER,F3403
S4_PM_ENGINEER,F3407
S4_MM_HANDLER,F3500
S4_MM_HANDLER,F3501
S4_MM_HANDLER,F3502
S4_MM_HANDLER,F3503
S4_MM_HANDLER,F3504
S4_MM_HANDLER,F3530
S4_MM_PURCHASER,F3520
S4_MM_PURCHASER,F3521
S4_MM_PURCHASER,F3522
S4_MM_PURCHASER,F3523
S4_MM_PURCHASER,F3524
S4_MM_PURCHASER,F3525
S4_MM_WAREHOUSE,F3500
S4_MM_WAREHOUSE,F3501
S4_MM_WAREHOUSE,F3502
S4_MM_WAREHOUSE,F3530
S4_MM_WAREHOUSE,F3531
S4_MM_WAREHOUSE,F3510
S4_MM_WAREHOUSE,F3511
S4_MM_WAREHOUSE,F3512
S4_MM_INVENTORY,F3510
S4_MM_INVENTORY,F3511
S4_MM_INVENTORY,F3512
S4_MM_INVENTORY,F3513
S4_MM_INVENTORY,F3503
S4_MM_INVENTORY,F3504
S4_SD_SHIPPING,F3540
S4_SD_SHIPPING,F3541
S4_SD_SHIPPING,F3501
S4_SD_SHIPPING,F3503
S4_FI_COST,F3610
S4_FI_COST,F3611
S4_FI_COST,F3612
S4_FI_COST,F3613
S4_FI_COST,F3604
S4_FI_AP,F3600
S4_FI_AP,F3601
S4_FI_AP,F3602
S4_FI_AP,F3525
S4_FI_AP,F3604
S4_FI_GL,F3603
S4_FI_GL,F3604
S4_FI_GL,F3605
S4_EHS_SPECIALIST,F3800
S4_EHS_SPECIALIST,F3801
S4_EHS_SPECIALIST,F3802
S4_EHS_SPECIALIST,F3303
